# File BD+5684
# Wavelength [nm]    Normalized Amplitude
   349.70         4.6298
   349.84         4.6411
   349.98         4.6603
   350.12         4.6824
   350.26         4.7041
   350.40         4.7240
   350.54         4.7413
   350.68         4.7565
   350.82         4.7703
   350.96         4.7809
   351.10         4.7849
   351.24         4.7809
   351.38         4.7703
   351.52         4.7565
   351.66         4.7413
   351.80         4.7240
   351.94         4.7041
   352.08         4.6824
   352.22         4.6603
   352.36         4.6411
   352.50         4.6298
   352.64         4.6316
   352.78         4.6503
   352.92         4.6876
   353.06         4.7431
   353.20         4.8138
   353.34         4.8951
   353.48         4.9817
   353.62         5.0675
   353.76         5.1475
   353.90         5.2178
   354.04         5.2750
   354.18         5.3161
   354.32         5.3395
   354.46         5.3467
   354.60         5.3414
   354.74         5.3269
   354.88         5.3068
   355.02         5.2859
   355.16         5.2680
   355.30         5.2533
   355.44         5.2397
   355.58         5.2257
   355.72         5.2092
   355.86         5.1860
   356.00         5.1512
   356.14         5.1009
   356.28         5.0334
   356.42         4.9516
   356.56         4.8627
   356.70         4.7760
   356.84         4.6994
   356.98         4.6386
   357.12         4.5946
   357.26         4.5633
   357.40         4.5391
   357.54         4.5186
   357.68         4.4995
   357.82         4.4805
   357.96         4.4622
   358.10         4.4474
   358.24         4.4410
   358.38         4.4502
   358.52         4.4824
   358.66         4.5433
   358.80         4.6337
   358.94         4.7496
   359.08         4.8837
   359.22         5.0259
   359.36         5.1627
   359.50         5.2792
   359.64         5.3624
   359.78         5.4030
   359.92         5.3987
   360.06         5.3548
   360.20         5.2825
   360.34         5.1957
   360.48         5.1072
   360.62         5.0270
   360.76         4.9636
   360.90         4.9249
   361.04         4.9160
   361.18         4.9373
   361.32         4.9850
   361.46         5.0544
   361.60         5.1401
   361.74         5.2350
   361.88         5.3292
   362.02         5.4116
   362.16         5.4722
   362.30         5.5049
   362.44         5.5103
   362.58         5.4944
   362.72         5.4669
   362.86         5.4375
   363.00         5.4132
   363.14         5.3957
   363.28         5.3853
   363.42         5.3831
   363.56         5.3897
   363.70         5.4043
   363.84         5.4258
   363.98         5.4532
   364.12         5.4844
   364.26         5.5175
   364.40         5.5530
   364.54         5.5939
   364.68         5.6451
   364.82         5.7104
   364.96         5.7920
   365.10         5.8896
   365.24         5.9985
   365.38         6.1106
   365.52         6.2157
   365.66         6.3043
   365.80         6.3695
   365.94         6.4095
   366.08         6.4274
   366.22         6.4296
   366.36         6.4231
   366.50         6.4132
   366.64         6.4041
   366.78         6.3987
   366.92         6.3991
   367.06         6.4063
   367.20         6.4192
   367.34         6.4351
   367.48         6.4499
   367.62         6.4627
   367.76         6.4769
   367.90         6.4984
   368.04         6.5321
   368.18         6.5812
   368.32         6.6472
   368.46         6.7306
   368.60         6.8311
   368.74         6.9490
   368.88         7.0821
   369.02         7.2248
   369.16         7.3675
   369.30         7.4991
   369.44         7.6094
   369.58         7.6901
   369.72         7.7361
   369.86         7.7464
   370.00         7.7264
   370.14         7.6889
   370.28         7.6526
   370.42         7.6360
   370.56         7.6525
   370.70         7.7068
   370.84         7.7947
   370.98         7.9075
   371.12         8.0357
   371.26         8.1707
   371.40         8.3039
   371.54         8.4249
   371.68         8.5222
   371.82         8.5862
   371.96         8.6103
   372.10         8.5909
   372.24         8.5280
   372.38         8.4271
   372.52         8.3008
   372.66         8.1675
   372.80         8.0476
   372.94         7.9577
   373.08         7.9072
   373.22         7.8968
   373.36         7.9184
   373.50         7.9593
   373.64         8.0067
   373.78         8.0494
   373.92         8.0794
   374.06         8.0939
   374.20         8.0954
   374.34         8.0889
   374.48         8.0779
   374.62         8.0624
   374.76         8.0430
   374.90         8.0263
   375.04         8.0261
   375.18         8.0561
   375.32         8.1230
   375.46         8.2229
   375.60         8.3411
   375.74         8.4573
   375.88         8.5538
   376.02         8.6217
   376.16         8.6616
   376.30         8.6822
   376.44         8.6990
   376.58         8.7326
   376.72         8.8014
   376.86         8.9152
   377.00         9.0743
   377.14         9.2739
   377.28         9.5056
   377.42         9.7566
   377.56         10.0112
   377.70         10.2509
   377.84         10.4548
   377.98         10.6034
   378.12         10.6817
   378.26         10.6805
   378.40         10.5988
   378.54         10.4441
   378.68         10.2324
   378.82         9.9884
   378.96         9.7440
   379.10         9.5356
   379.24         9.3956
   379.38         9.3443
   379.52         9.3878
   379.66         9.5247
   379.80         9.7481
   379.94         10.0415
   380.08         10.3783
   380.22         10.7282
   380.36         11.0644
   380.50         11.3649
   380.64         11.6117
   380.78         11.7906
   380.92         11.8946
   381.06         11.9253
   381.20         11.8908
   381.34         11.8043
   381.48         11.6818
   381.62         11.5359
   381.76         11.3727
   381.90         11.1914
   382.04         10.9868
   382.18         10.7539
   382.32         10.4925
   382.46         10.2053
   382.60         9.8960
   382.74         9.5735
   382.88         9.2573
   383.02         8.9756
   383.16         8.7565
   383.30         8.6207
   383.44         8.5800
   383.58         8.6374
   383.72         8.7857
   383.86         9.0103
   384.00         9.2941
   384.14         9.6195
   384.28         9.9666
   384.42         10.3137
   384.56         10.6409
   384.70         10.9331
   384.84         11.1839
   384.98         11.3972
   385.12         11.5827
   385.26         11.7504
   385.40         11.9087
   385.54         12.0648
   385.68         12.2222
   385.82         12.3776
   385.96         12.5197
   386.10         12.6352
   386.24         12.7146
   386.38         12.7536
   386.52         12.7523
   386.66         12.7137
   386.80         12.6420
   386.94         12.5411
   387.08         12.4131
   387.22         12.2588
   387.36         12.0795
   387.50         11.8769
   387.64         11.6521
   387.78         11.4060
   387.92         11.1430
   388.06         10.8732
   388.20         10.6101
   388.34         10.3671
   388.48         10.1541
   388.62         9.9816
   388.76         9.8635
   388.90         9.8128
   389.04         9.8359
   389.18         9.9277
   389.32         10.0744
   389.46         10.2575
   389.60         10.4577
   389.74         10.6597
   389.88         10.8524
   390.02         11.0262
   390.16         11.1713
   390.30         11.2795
   390.44         11.3456
   390.58         11.3667
   390.72         11.3393
   390.86         11.2601
   391.00         11.1279
   391.14         10.9452
   391.28         10.7164
   391.42         10.4448
   391.56         10.1292
   391.70         9.7634
   391.84         9.3394
   391.98         8.8529
   392.12         8.3070
   392.26         7.7122
   392.40         7.0849
   392.54         6.4444
   392.68         5.8146
   392.82         5.2261
   392.96         4.7152
   393.10         4.3191
   393.24         4.0714
   393.38         3.9960
   393.52         4.1010
   393.66         4.3772
   393.80         4.8000
   393.94         5.3338
   394.08         5.9385
   394.22         6.5736
   394.36         7.2012
   394.50         7.7887
   394.64         8.3113
   394.78         8.7513
   394.92         9.0957
   395.06         9.3342
   395.20         9.4562
   395.34         9.4515
   395.48         9.3126
   395.62         9.0385
   395.76         8.6382
   395.90         8.1329
   396.04         7.5549
   396.18         6.9477
   396.32         6.3650
   396.46         5.8660
   396.60         5.5084
   396.74         5.3387
   396.88         5.3835
   397.02         5.6477
   397.16         6.1180
   397.30         6.7653
   397.44         7.5463
   397.58         8.4072
   397.72         9.2911
   397.86         10.1465
   398.00         10.9337
   398.14         11.6256
   398.28         12.2057
   398.42         12.6679
   398.56         13.0170
   398.70         13.2686
   398.84         13.4456
   398.98         13.5712
   399.12         13.6646
   399.26         13.7388
   399.40         13.8020
   399.54         13.8615
   399.68         13.9279
   399.82         14.0132
   399.96         14.1253
   400.10         14.2669
   400.24         14.4369
   400.38         14.6325
   400.52         14.8493
   400.66         15.0794
   400.80         15.3107
   400.94         15.5304
   401.08         15.7286
   401.22         15.9014
   401.36         16.0509
   401.50         16.1798
   401.64         16.2855
   401.78         16.3598
   401.92         16.3953
   402.06         16.3901
   402.20         16.3502
   402.34         16.2877
   402.48         16.2171
   402.62         16.1509
   402.76         16.0991
   402.90         16.0677
   403.04         16.0573
   403.18         16.0639
   403.32         16.0813
   403.46         16.1037
   403.60         16.1278
   403.74         16.1524
   403.88         16.1765
   404.02         16.1960
   404.16         16.2017
   404.30         16.1840
   404.44         16.1417
   404.58         16.0865
   404.72         16.0359
   404.86         16.0049
   405.00         15.9999
   405.14         16.0181
   405.28         16.0515
   405.42         16.0904
   405.56         16.1270
   405.70         16.1562
   405.84         16.1758
   405.98         16.1837
   406.12         16.1763
   406.26         16.1452
   406.40         16.0779
   406.54         15.9653
   406.68         15.8090
   406.82         15.6239
   406.96         15.4326
   407.10         15.2564
   407.24         15.1111
   407.38         15.0079
   407.52         14.9567
   407.66         14.9691
   407.80         15.0556
   407.94         15.2203
   408.08         15.4584
   408.22         15.7541
   408.36         16.0801
   408.50         16.4001
   408.64         16.6736
   408.78         16.8608
   408.92         16.9312
   409.06         16.8747
   409.20         16.7043
   409.34         16.4491
   409.48         16.1407
   409.62         15.8069
   409.76         15.4736
   409.90         15.1717
   410.04         14.9351
   410.18         14.7939
   410.32         14.7661
   410.46         14.8514
   410.60         15.0314
   410.74         15.2756
   410.88         15.5468
   411.02         15.8078
   411.16         16.0282
   411.30         16.1877
   411.44         16.2753
   411.58         16.2917
   411.72         16.2453
   411.86         16.1477
   412.00         16.0106
   412.14         15.8476
   412.28         15.6792
   412.42         15.5339
   412.56         15.4429
   412.70         15.4319
   412.84         15.5116
   412.98         15.6737
   413.12         15.8967
   413.26         16.1565
   413.40         16.4331
   413.54         16.7084
   413.68         16.9645
   413.82         17.1857
   413.96         17.3590
   414.10         17.4739
   414.24         17.5252
   414.38         17.5161
   414.52         17.4591
   414.66         17.3731
   414.80         17.2803
   414.94         17.2025
   415.08         17.1580
   415.22         17.1583
   415.36         17.2060
   415.50         17.2952
   415.64         17.4172
   415.78         17.5608
   415.92         17.7073
   416.06         17.8293
   416.20         17.8964
   416.34         17.8845
   416.48         17.7805
   416.62         17.5824
   416.76         17.3022
   416.90         16.9656
   417.04         16.6069
   417.18         16.2615
   417.32         15.9603
   417.46         15.7276
   417.60         15.5808
   417.74         15.5293
   417.88         15.5735
   418.02         15.7047
   418.16         15.9063
   418.30         16.1522
   418.44         16.4086
   418.58         16.6429
   418.72         16.8347
   418.86         16.9765
   419.00         17.0658
   419.14         17.1013
   419.28         17.0850
   419.42         17.0250
   419.56         16.9334
   419.70         16.8252
   419.84         16.7191
   419.98         16.6370
   420.12         16.5983
   420.26         16.6154
   420.40         16.6930
   420.54         16.8292
   420.68         17.0159
   420.82         17.2377
   420.96         17.4725
   421.10         17.6943
   421.24         17.8770
   421.38         17.9979
   421.52         18.0429
   421.66         18.0125
   421.80         17.9226
   421.94         17.7966
   422.08         17.6564
   422.22         17.5182
   422.36         17.3938
   422.50         17.2916
   422.64         17.2158
   422.78         17.1677
   422.92         17.1499
   423.06         17.1665
   423.20         17.2182
   423.34         17.2961
   423.48         17.3837
   423.62         17.4634
   423.76         17.5223
   423.90         17.5567
   424.04         17.5734
   424.18         17.5865
   424.32         17.6095
   424.46         17.6467
   424.60         17.6934
   424.74         17.7437
   424.88         17.7972
   425.02         17.8608
   425.16         17.9449
   425.30         18.0594
   425.44         18.2094
   425.58         18.3903
   425.72         18.5846
   425.86         18.7661
   426.00         18.9089
   426.14         18.9967
   426.28         19.0249
   426.42         18.9991
   426.56         18.9315
   426.70         18.8369
   426.84         18.7290
   426.98         18.6184
   427.12         18.5132
   427.26         18.4199
   427.40         18.3429
   427.54         18.2808
   427.68         18.2252
   427.82         18.1643
   427.96         18.0865
   428.10         17.9829
   428.24         17.8485
   428.38         17.6823
   428.52         17.4880
   428.66         17.2726
   428.80         17.0424
   428.94         16.8022
   429.08         16.5561
   429.22         16.3079
   429.36         16.0623
   429.50         15.8267
   429.64         15.6131
   429.78         15.4374
   429.92         15.3163
   430.06         15.2604
   430.20         15.2750
   430.34         15.3663
   430.48         15.5436
   430.62         15.8108
   430.76         16.1594
   430.90         16.5679
   431.04         17.0076
   431.18         17.4470
   431.32         17.8572
   431.46         18.2190
   431.60         18.5256
   431.74         18.7776
   431.88         18.9771
   432.02         19.1270
   432.16         19.2311
   432.30         19.2914
   432.44         19.3022
   432.58         19.2470
   432.72         19.1048
   432.86         18.8636
   433.00         18.5279
   433.14         18.1164
   433.28         17.6566
   433.42         17.1838
   433.56         16.7393
   433.70         16.3627
   433.84         16.0846
   433.98         15.9260
   434.12         15.9011
   434.26         16.0165
   434.40         16.2662
   434.54         16.6319
   434.68         17.0860
   434.82         17.5942
   434.96         18.1219
   435.10         18.6414
   435.24         19.1353
   435.38         19.5953
   435.52         20.0175
   435.66         20.3982
   435.80         20.7326
   435.94         21.0136
   436.08         21.2294
   436.22         21.3641
   436.36         21.4063
   436.50         21.3595
   436.64         21.2448
   436.78         21.0925
   436.92         20.9289
   437.06         20.7659
   437.20         20.6017
   437.34         20.4321
   437.48         20.2588
   437.62         20.0877
   437.76         19.9224
   437.90         19.7613
   438.04         19.5995
   438.18         19.4344
   438.32         19.2694
   438.46         19.1128
   438.60         18.9700
   438.74         18.8422
   438.88         18.7344
   439.02         18.6588
   439.16         18.6267
   439.30         18.6397
   439.44         18.6878
   439.58         18.7530
   439.72         18.8172
   439.86         18.8728
   440.00         18.9247
   440.14         18.9769
   440.28         19.0236
   440.42         19.0507
   440.56         19.0447
   440.70         19.0001
   440.84         18.9193
   440.98         18.8106
   441.12         18.6862
   441.26         18.5621
   441.40         18.4571
   441.54         18.3894
   441.68         18.3693
   441.82         18.3966
   441.96         18.4615
   442.10         18.5491
   442.24         18.6442
   442.38         18.7391
   442.52         18.8360
   442.66         18.9381
   442.80         19.0418
   442.94         19.1353
   443.08         19.2073
   443.22         19.2562
   443.36         19.2885
   443.50         19.3121
   443.64         19.3317
   443.78         19.3510
   443.92         19.3731
   444.06         19.3970
   444.20         19.4183
   444.34         19.4323
   444.48         19.4362
   444.62         19.4280
   444.76         19.4066
   444.90         19.3724
   445.04         19.3282
   445.18         19.2759
   445.32         19.2118
   445.46         19.1290
   445.60         19.0255
   445.74         18.9129
   445.88         18.8150
   446.02         18.7565
   446.16         18.7570
   446.30         18.8296
   446.44         18.9834
   446.58         19.2186
   446.72         19.5214
   446.86         19.8666
   447.00         20.2274
   447.14         20.5810
   447.28         20.9080
   447.42         21.1907
   447.56         21.4114
   447.70         21.5562
   447.84         21.6190
   447.98         21.6016
   448.12         21.5133
   448.26         21.3723
   448.40         21.2067
   448.54         21.0477
   448.68         20.9211
   448.82         20.8426
   448.96         20.8209
   449.10         20.8623
   449.24         20.9684
   449.38         21.1356
   449.52         21.3568
   449.66         21.6245
   449.80         21.9288
   449.94         22.2530
   450.08         22.5747
   450.22         22.8708
   450.36         23.1240
   450.50         23.3214
   450.64         23.4516
   450.78         23.5073
   450.92         23.4858
   451.06         23.3872
   451.20         23.2151
   451.34         22.9764
   451.48         22.6828
   451.62         22.3522
   451.76         22.0052
   451.90         21.6572
   452.04         21.3186
   452.18         21.0019
   452.32         20.7273
   452.46         20.5168
   452.60         20.3841
   452.74         20.3317
   452.88         20.3541
   453.02         20.4402
   453.16         20.5741
   453.30         20.7381
   453.44         20.9123
   453.58         21.0741
   453.72         21.2015
   453.86         21.2797
   454.00         21.2997
   454.14         21.2569
   454.28         21.1551
   454.42         21.0078
   454.56         20.8352
   454.70         20.6629
   454.84         20.5184
   454.98         20.4225
   455.12         20.3828
   455.26         20.3970
   455.40         20.4607
   455.54         20.5695
   455.68         20.7161
   455.82         20.8887
   455.96         21.0731
   456.10         21.2568
   456.24         21.4307
   456.38         21.5889
   456.52         21.7270
   456.66         21.8390
   456.80         21.9178
   456.94         21.9574
   457.08         21.9544
   457.22         21.9107
   457.36         21.8331
   457.50         21.7299
   457.64         21.6100
   457.78         21.4843
   457.92         21.3657
   458.06         21.2670
   458.20         21.1984
   458.34         21.1672
   458.48         21.1777
   458.62         21.2321
   458.76         21.3272
   458.90         21.4522
   459.04         21.5920
   459.18         21.7338
   459.32         21.8699
   459.46         21.9989
   459.60         22.1253
   459.74         22.2584
   459.88         22.4064
   460.02         22.5702
   460.16         22.7412
   460.30         22.9069
   460.44         23.0559
   460.58         23.1800
   460.72         23.2752
   460.86         23.3425
   461.00         23.3863
   461.14         23.4131
   461.28         23.4292
   461.42         23.4392
   461.56         23.4464
   461.70         23.4551
   461.84         23.4714
   461.98         23.4987
   462.12         23.5356
   462.26         23.5762
   462.40         23.6128
   462.54         23.6390
   462.68         23.6536
   462.82         23.6602
   462.96         23.6653
   463.10         23.6746
   463.24         23.6903
   463.38         23.7114
   463.52         23.7349
   463.66         23.7563
   463.80         23.7700
   463.94         23.7712
   464.08         23.7580
   464.22         23.7305
   464.36         23.6902
   464.50         23.6426
   464.64         23.5962
   464.78         23.5588
   464.92         23.5353
   465.06         23.5268
   465.20         23.5309
   465.34         23.5378
   465.48         23.5285
   465.62         23.4809
   465.76         23.3806
   465.90         23.2277
   466.04         23.0396
   466.18         22.8467
   466.32         22.6834
   466.46         22.5780
   466.60         22.5469
   466.74         22.5926
   466.88         22.7074
   467.02         22.8810
   467.16         23.1045
   467.30         23.3646
   467.44         23.6400
   467.58         23.9065
   467.72         24.1440
   467.86         24.3383
   468.00         24.4831
   468.14         24.5816
   468.28         24.6484
   468.42         24.7020
   468.56         24.7564
   468.70         24.8154
   468.84         24.8720
   468.98         24.9108
   469.12         24.9135
   469.26         24.8665
   469.40         24.7642
   469.54         24.6099
   469.68         24.4151
   469.82         24.1968
   469.96         23.9733
   470.10         23.7613
   470.24         23.5757
   470.38         23.4294
   470.52         23.3341
   470.66         23.2964
   470.80         23.3162
   470.94         23.3890
   471.08         23.5055
   471.22         23.6517
   471.36         23.8123
   471.50         23.9715
   471.64         24.1143
