# File BD-144956
# Wavelength [nm]    Normalized Amplitude
   349.70         209.2067
   349.84         208.6846
   349.98         208.2774
   350.12         208.0035
   350.26         207.8560
   350.40         207.8193
   350.54         207.8460
   350.68         207.8604
   350.82         207.8237
   350.96         207.7660
   351.10         207.7392
   351.24         207.7660
   351.38         207.8237
   351.52         207.8604
   351.66         207.8460
   351.80         207.8193
   351.94         207.8560
   352.08         208.0035
   352.22         208.2774
   352.36         208.6846
   352.50         209.2067
   352.64         209.7896
   352.78         210.4109
   352.92         211.0882
   353.06         211.8136
   353.20         212.5646
   353.34         213.3310
   353.48         214.0959
   353.62         214.8089
   353.76         215.3893
   353.90         215.7708
   354.04         215.9109
   354.18         215.7754
   354.32         215.3636
   354.46         214.7172
   354.60         213.8683
   354.74         212.8354
   354.88         211.6626
   355.02         210.3994
   355.16         209.0979
   355.30         207.8250
   355.44         206.6646
   355.58         205.6888
   355.72         204.9774
   355.86         204.6218
   356.00         204.6163
   356.14         204.8693
   356.28         205.3342
   356.42         206.0156
   356.56         206.9052
   356.70         207.9526
   356.84         209.0595
   356.98         210.1106
   357.12         211.0038
   357.26         211.6458
   357.40         211.9703
   357.54         211.9461
   357.68         211.5723
   357.82         210.9032
   357.96         210.0152
   358.10         209.0041
   358.24         208.0026
   358.38         207.1206
   358.52         206.4010
   358.66         205.8687
   358.80         205.5903
   358.94         205.6152
   359.08         205.8817
   359.22         206.2556
   359.36         206.6056
   359.50         206.8200
   359.64         206.8206
   359.78         206.5873
   359.92         206.1314
   360.06         205.4725
   360.20         204.6682
   360.34         203.8027
   360.48         202.9501
   360.62         202.1761
   360.76         201.5723
   360.90         201.2452
   361.04         201.2542
   361.18         201.5868
   361.32         202.1687
   361.46         202.8948
   361.60         203.6541
   361.74         204.3484
   361.88         204.9061
   362.02         205.2659
   362.16         205.3711
   362.30         205.1816
   362.44         204.7017
   362.58         203.9870
   362.72         203.1303
   362.86         202.2504
   363.00         201.4282
   363.14         200.7217
   363.28         200.2105
   363.42         199.9692
   363.56         200.0393
   363.70         200.3980
   363.84         200.9744
   363.98         201.6967
   364.12         202.4991
   364.26         203.2958
   364.40         203.9822
   364.54         204.4631
   364.68         204.6750
   364.82         204.6126
   364.96         204.3150
   365.10         203.8424
   365.24         203.2607
   365.38         202.6261
   365.52         201.9898
   365.66         201.3882
   365.80         200.8505
   365.94         200.3814
   366.08         199.9654
   366.22         199.6006
   366.36         199.2778
   366.50         198.9833
   366.64         198.7013
   366.78         198.4176
   366.92         198.1416
   367.06         197.8937
   367.20         197.6876
   367.34         197.5312
   367.48         197.4260
   367.62         197.3474
   367.76         197.2373
   367.90         197.0293
   368.04         196.6994
   368.18         196.3021
   368.32         195.9169
   368.46         195.5524
   368.60         195.1317
   368.74         194.5689
   368.88         193.8181
   369.02         192.8735
   369.16         191.7623
   369.30         190.5101
   369.44         189.1404
   369.58         187.7090
   369.72         186.2956
   369.86         184.9768
   370.00         183.8321
   370.14         182.9625
   370.28         182.4590
   370.42         182.3557
   370.56         182.6688
   370.70         183.4023
   370.84         184.4715
   370.98         185.6715
   371.12         186.7556
   371.26         187.5883
   371.40         188.1982
   371.54         188.7073
   371.68         189.2137
   371.82         189.7278
   371.96         190.2137
   372.10         190.6273
   372.24         190.9191
   372.38         191.0414
   372.52         190.9756
   372.66         190.7700
   372.80         190.5286
   372.94         190.3450
   373.08         190.3057
   373.22         190.5362
   373.36         191.1250
   373.50         192.0406
   373.64         193.1505
   373.78         194.2750
   373.92         195.2471
   374.06         195.9381
   374.20         196.2543
   374.34         196.1303
   374.48         195.5798
   374.62         194.7385
   374.76         193.8321
   374.90         193.1570
   375.04         193.0159
   375.18         193.6122
   375.32         195.0091
   375.46         197.0913
   375.60         199.5624
   375.74         202.0216
   375.88         204.0252
   376.02         205.1554
   376.16         205.1388
   376.30         203.9611
   376.44         201.8818
   376.58         199.3495
   376.72         196.8749
   376.86         194.9063
   377.00         193.7953
   377.14         193.7826
   377.28         194.9492
   377.42         197.2198
   377.56         200.3894
   377.70         204.1198
   377.84         207.9873
   377.98         211.5672
   378.12         214.4617
   378.26         216.3321
   378.40         216.9580
   378.54         216.2669
   378.68         214.3350
   378.82         211.3726
   378.96         207.6997
   379.10         203.6877
   379.24         199.7013
   379.38         196.0680
   379.52         193.0679
   379.66         190.9515
   379.80         189.9381
   379.94         190.1842
   380.08         191.7308
   380.22         194.4589
   380.36         198.0983
   380.50         202.2648
   380.64         206.4969
   380.78         210.3185
   380.92         213.3291
   381.06         215.2815
   381.20         216.1220
   381.34         215.9785
   381.48         215.0878
   381.62         213.7086
   381.76         212.0574
   381.90         210.2773
   382.04         208.4303
   382.18         206.4975
   382.32         204.3877
   382.46         201.9823
   382.60         199.2125
   382.74         196.1060
   382.88         192.7963
   383.02         189.5082
   383.16         186.5152
   383.30         184.1198
   383.44         182.6210
   383.58         182.2571
   383.72         183.1627
   383.86         185.3282
   384.00         188.5722
   384.14         192.5792
