# File HD9547
# Wavelength [nm]    Normalized Amplitude
   349.70         8.5210
   349.84         8.6043
   349.98         8.7188
   350.12         8.8580
   350.26         9.0135
   350.40         9.1742
   350.54         9.3283
   350.68         9.4646
   350.82         9.5710
   350.96         9.6377
   351.10         9.6603
   351.24         9.6377
   351.38         9.5710
   351.52         9.4646
   351.66         9.3283
   351.80         9.1742
   351.94         9.0135
   352.08         8.8580
   352.22         8.7188
   352.36         8.6043
   352.50         8.5210
   352.64         8.4734
   352.78         8.4603
   352.92         8.4735
   353.06         8.5016
   353.20         8.5332
   353.34         8.5577
   353.48         8.5674
   353.62         8.5600
   353.76         8.5385
   353.90         8.5061
   354.04         8.4671
   354.18         8.4274
   354.32         8.3956
   354.46         8.3802
   354.60         8.3863
   354.74         8.4163
   354.88         8.4688
   355.02         8.5377
   355.16         8.6132
   355.30         8.6835
   355.44         8.7385
   355.58         8.7707
   355.72         8.7746
   355.86         8.7450
   356.00         8.6799
   356.14         8.5825
   356.28         8.4600
   356.42         8.3218
   356.56         8.1791
   356.70         8.0461
   356.84         7.9377
   356.98         7.8658
   357.12         7.8354
   357.26         7.8433
   357.40         7.8804
   357.54         7.9347
   357.68         7.9935
   357.82         8.0453
   357.96         8.0817
   358.10         8.0984
   358.24         8.0944
   358.38         8.0713
   358.52         8.0351
   358.66         7.9963
   358.80         7.9651
   358.94         7.9475
   359.08         7.9459
   359.22         7.9609
   359.36         7.9914
   359.50         8.0336
   359.64         8.0825
   359.78         8.1328
   359.92         8.1809
   360.06         8.2243
   360.20         8.2623
   360.34         8.2957
   360.48         8.3249
   360.62         8.3500
   360.76         8.3717
   360.90         8.3891
   361.04         8.4008
   361.18         8.4067
   361.32         8.4079
   361.46         8.4047
   361.60         8.3992
   361.74         8.3954
   361.88         8.3971
   362.02         8.4045
   362.16         8.4151
   362.30         8.4242
   362.44         8.4267
   362.58         8.4189
   362.72         8.3996
   362.86         8.3707
   363.00         8.3359
   363.14         8.2985
   363.28         8.2613
   363.42         8.2263
   363.56         8.1951
   363.70         8.1701
   363.84         8.1534
   363.98         8.1466
   364.12         8.1488
   364.26         8.1582
   364.40         8.1735
   364.54         8.1940
   364.68         8.2192
   364.82         8.2505
   364.96         8.2903
   365.10         8.3405
   365.24         8.4002
   365.38         8.4663
   365.52         8.5336
   365.66         8.5955
   365.80         8.6461
   365.94         8.6836
   366.08         8.7092
   366.22         8.7245
   366.36         8.7314
   366.50         8.7309
   366.64         8.7221
   366.78         8.7033
   366.92         8.6755
   367.06         8.6425
   367.20         8.6069
   367.34         8.5707
   367.48         8.5351
   367.62         8.5012
   367.76         8.4690
   367.90         8.4392
   368.04         8.4136
   368.18         8.3952
   368.32         8.3874
   368.46         8.3915
   368.60         8.4069
   368.74         8.4301
   368.88         8.4575
   369.02         8.4873
   369.16         8.5172
   369.30         8.5451
   369.44         8.5719
   369.58         8.5993
   369.72         8.6276
   369.86         8.6544
   370.00         8.6768
   370.14         8.6937
   370.28         8.7079
   370.42         8.7268
   370.56         8.7596
   370.70         8.8114
   370.84         8.8809
   370.98         8.9607
   371.12         9.0407
   371.26         9.1131
   371.40         9.1740
   371.54         9.2246
   371.68         9.2703
   371.82         9.3172
   371.96         9.3673
   372.10         9.4172
   372.24         9.4588
   372.38         9.4835
   372.52         9.4881
   372.66         9.4771
   372.80         9.4620
   372.94         9.4573
   373.08         9.4752
   373.22         9.5200
   373.36         9.5867
   373.50         9.6657
   373.64         9.7458
   373.78         9.8155
   373.92         9.8662
   374.06         9.8953
   374.20         9.9051
   374.34         9.8990
   374.48         9.8794
   374.62         9.8488
   374.76         9.8141
   374.90         9.7905
   375.04         9.7997
   375.18         9.8621
   375.32         9.9859
   375.46         10.1644
   375.60         10.3769
   375.74         10.5919
   375.88         10.7728
   376.02         10.8881
   376.16         10.9216
   376.30         10.8757
   376.44         10.7720
   376.58         10.6460
   376.72         10.5389
   376.86         10.4882
   377.00         10.5227
   377.14         10.6624
   377.28         10.9165
   377.42         11.2809
   377.56         11.7364
   377.70         12.2489
   377.84         12.7732
   377.98         13.2614
   378.12         13.6701
   378.26         13.9615
   378.40         14.1055
   378.54         14.0841
   378.68         13.8977
   378.82         13.5666
   378.96         13.1270
   379.10         12.6268
   379.24         12.1217
   379.38         11.6673
   379.52         11.3118
   379.66         11.0943
   379.80         11.0424
   379.94         11.1652
   380.08         11.4523
