# File O2311
# Wavelength [nm]    Normalized Amplitude
   349.70         131.3858
   349.84         131.8373
   349.98         132.1907
   350.12         132.4459
   350.26         132.6034
   350.40         132.6766
   350.54         132.6943
   350.68         132.6872
   350.82         132.6771
   350.96         132.6734
   351.10         132.6734
   351.24         132.6734
   351.38         132.6771
   351.52         132.6872
   351.66         132.6943
   351.80         132.6766
   351.94         132.6034
   352.08         132.4459
   352.22         132.1907
   352.36         131.8373
   352.50         131.3858
   352.64         130.8393
   352.78         130.2108
   352.92         129.5231
   353.06         128.8074
   353.20         128.1071
   353.34         127.4771
   353.48         126.9756
   353.62         126.6581
   353.76         126.5559
   353.90         126.6604
   354.04         126.9305
   354.18         127.3014
   354.32         127.7005
   354.46         128.0588
   354.60         128.3131
   354.74         128.4201
   354.88         128.3616
   355.02         128.1378
   355.16         127.7600
   355.30         127.2560
   355.44         126.6726
   355.58         126.0669
   355.72         125.4999
   355.86         125.0274
   356.00         124.6856
   356.14         124.4849
   356.28         124.4002
   356.42         124.3645
   356.56         124.2955
   356.70         124.1276
   356.84         123.8176
   356.98         123.3381
   357.12         122.6709
   357.26         121.8194
   357.40         120.8201
   357.54         119.7273
   357.68         118.5939
   357.82         117.4723
   357.96         116.4303
   358.10         115.5435
   358.24         114.8714
   358.38         114.4409
   358.52         114.2372
   358.66         114.2083
   358.80         114.2771
   358.94         114.3649
   359.08         114.4186
   359.22         114.4155
   359.36         114.3531
   359.50         114.2453
   359.64         114.1180
   359.78         114.0021
   359.92         113.9251
   360.06         113.8979
   360.20         113.9153
   360.34         113.9731
   360.48         114.0730
   360.62         114.2068
   360.76         114.3421
   360.90         114.4335
   361.04         114.4415
   361.18         114.3476
   361.32         114.1646
   361.46         113.9356
   361.60         113.7208
   361.74         113.5783
   361.88         113.5471
   362.02         113.6383
   362.16         113.8322
   362.30         114.0807
   362.44         114.3213
   362.58         114.4949
   362.72         114.5592
   362.86         114.4971
   363.00         114.3153
   363.14         114.0317
   363.28         113.6669
   363.42         113.2461
   363.56         112.7996
   363.70         112.3675
   363.84         112.0034
   363.98         111.7475
   364.12         111.6129
   364.26         111.6008
   364.40         111.7045
   364.54         111.9049
   364.68         112.1679
   364.82         112.4566
   364.96         112.7470
   365.10         113.0256
   365.24         113.2784
   365.38         113.4966
   365.52         113.6840
   365.66         113.8498
   365.80         113.9992
   365.94         114.1320
   366.08         114.2380
   366.22         114.2996
   366.36         114.3052
   366.50         114.2521
   366.64         114.1405
   366.78         113.9797
   366.92         113.7834
   367.06         113.5577
   367.20         113.3018
   367.34         113.0243
   367.48         112.7598
   367.62         112.5511
   367.76         112.4247
   367.90         112.3926
   368.04         112.4562
   368.18         112.5997
   368.32         112.7836
   368.46         112.9559
   368.60         113.0715
   368.74         113.0985
   368.88         113.0174
   369.02         112.8225
   369.16         112.5192
   369.30         112.1140
   369.44         111.6173
   369.58         111.0551
   369.72         110.4617
   369.86         109.8726
   370.00         109.3220
   370.14         108.8310
   370.28         108.4071
   370.42         108.0671
   370.56         107.8439
   370.70         107.7610
   370.84         107.8109
   370.98         107.9520
   371.12         108.1279
   371.26         108.2913
   371.40         108.4102
   371.54         108.4699
   371.68         108.4744
   371.82         108.4375
   371.96         108.3676
   372.10         108.2570
   372.24         108.0799
   372.38         107.8119
   372.52         107.4655
   372.66         107.0964
   372.80         106.7880
   372.94         106.6253
   373.08         106.6628
   373.22         106.9024
   373.36         107.2989
   373.50         107.7747
   373.64         108.2365
   373.78         108.5945
   373.92         108.7735
   374.06         108.7172
   374.20         108.4014
   374.34         107.8483
   374.48         107.1264
   374.62         106.3503
   374.76         105.6757
   374.90         105.2728
   375.04         105.2868
   375.18         105.8039
   375.32         106.8268
   375.46         108.2639
   375.60         109.9296
   375.74         111.5592
   375.88         112.8662
   376.02         113.6151
   376.16         113.6776
   376.30         113.0751
   376.44         111.9770
   376.58         110.6517
   376.72         109.4064
   376.86         108.5405
   377.00         108.2955
   377.14         108.8118
   377.28         110.1145
   377.42         112.1185
   377.56         114.6487
   377.70         117.4731
   377.84         120.3265
   377.98         122.9270
   378.12         124.9926
   378.26         126.2648
   378.40         126.5524
   378.54         125.7884
   378.68         124.0582
   378.82         121.5783
   378.96         118.6425
   379.10         115.5624
   379.24         112.6329
   379.38         110.1153
   379.52         108.2238
   379.66         107.1104
   379.80         106.8547
   379.94         107.4680
   380.08         108.9006
   380.22         111.0269
   380.36         113.6233
   380.50         116.3871
   380.64         118.9980
   380.78         121.1862
   380.92         122.7852
   381.06         123.7569
   381.20         124.1802
   381.34         124.2043
   381.48         123.9831
   381.62         123.6344
   381.76         123.2255
