# File SAO11885
# Wavelength [nm]    Normalized Amplitude
   349.70         203.3149
   349.84         203.4912
   349.98         203.4677
   350.12         203.2207
   350.26         202.7801
   350.40         202.2169
   350.54         201.6050
   350.68         201.0103
   350.82         200.5075
   350.96         200.1719
   351.10         200.0542
   351.24         200.1719
   351.38         200.5075
   351.52         201.0103
   351.66         201.6050
   351.80         202.2169
   351.94         202.7801
   352.08         203.2207
   352.22         203.4677
   352.36         203.4912
   352.50         203.3149
   352.64         202.9972
   352.78         202.6181
   352.92         202.2580
   353.06         201.9652
   353.20         201.7526
   353.34         201.6132
   353.48         201.5263
   353.62         201.4549
   353.76         201.3442
   353.90         201.1308
   354.04         200.7643
   354.18         200.2232
   354.32         199.5161
   354.46         198.6819
   354.60         197.7753
   354.74         196.8500
   354.88         195.9583
   355.02         195.1490
   355.16         194.4553
   355.30         193.8805
   355.44         193.3967
   355.58         192.9619
   355.72         192.5541
   355.86         192.1823
   356.00         191.8627
   356.14         191.6064
   356.28         191.4147
   356.42         191.2679
   356.56         191.1297
   356.70         190.9632
   356.84         190.7393
   356.98         190.4347
   357.12         190.0276
   357.26         189.4881
   357.40         188.7797
   357.54         187.8824
   357.68         186.8177
   357.82         185.6512
   357.96         184.4814
   358.10         183.4216
   358.24         182.5677
   358.38         181.9731
   358.52         181.6414
   358.66         181.5476
   358.80         181.6679
   358.94         181.9724
   359.08         182.4204
   359.22         182.9735
   359.36         183.5981
   359.50         184.2558
   359.64         184.8890
   359.78         185.4266
   359.92         185.8074
   360.06         185.9952
   360.20         185.9852
   360.34         185.8029
   360.48         185.4867
   360.62         185.0632
   360.76         184.5431
   360.90         183.9415
   361.04         183.3026
   361.18         182.6953
   361.32         182.1860
   361.46         181.8076
   361.60         181.5532
   361.74         181.4025
   361.88         181.3279
   362.02         181.2849
   362.16         181.2184
   362.30         181.0766
   362.44         180.8300
   362.58         180.4740
   362.72         180.0255
   362.86         179.5313
   363.00         179.0521
   363.14         178.6334
   363.28         178.3061
   363.42         178.0974
   363.56         178.0170
   363.70         178.0457
   363.84         178.1414
   363.98         178.2620
   364.12         178.3813
   364.26         178.4937
   364.40         178.6148
   364.54         178.7623
   364.68         178.9424
   364.82         179.1619
   364.96         179.4380
   365.10         179.7926
   365.24         180.2333
   365.38         180.7425
   365.52         181.2817
   365.66         181.7944
   365.80         182.2183
   365.94         182.4999
   366.08         182.5939
   366.22         182.4735
   366.36         182.1542
   366.50         181.6817
   366.64         181.1131
   366.78         180.5029
   366.92         179.8916
   367.06         179.3086
   367.20         178.7580
   367.34         178.2196
   367.48         177.6742
   367.62         177.1239
   367.76         176.5774
   367.90         176.0268
   368.04         175.4691
   368.18         174.9316
   368.32         174.4656
   368.46         174.1161
   368.60         173.9015
   368.74         173.8285
   368.88         173.8976
   369.02         174.0880
   369.16         174.3462
   369.30         174.6050
   369.44         174.8148
   369.58         174.9633
   369.72         175.0656
   369.86         175.1317
   370.00         175.1619
   370.14         175.1635
   370.28         175.1569
   370.42         175.1698
   370.56         175.2507
   370.70         175.4712
   370.84         175.8681
   370.98         176.3944
   371.12         176.9466
   371.26         177.4405
   371.40         177.8541
   371.54         178.2129
   371.68         178.5644
   371.82         178.9629
   371.96         179.4440
   372.10         179.9938
   372.24         180.5359
   372.38         180.9558
   372.52         181.1686
   372.66         181.1813
   372.80         181.0901
   372.94         181.0430
   373.08         181.1963
   373.22         181.6565
   373.36         182.4414
   373.50         183.4769
   373.64         184.6287
   373.78         185.7413
   373.92         186.6648
   374.06         187.2727
   374.20         187.4838
   374.34         187.2830
   374.48         186.7170
   374.62         185.8796
   374.76         184.9273
   374.90         184.0885
   375.04         183.6265
   375.18         183.7713
   375.32         184.6373
   375.46         186.1727
   375.60         188.1564
   375.74         190.2217
   375.88         191.9221
   376.02         192.8582
   376.16         192.7896
   376.30         191.6871
   376.44         189.7440
   376.58         187.3434
   376.72         184.9682
   376.86         183.0958
   377.00         182.1026
   377.14         182.2045
   377.28         183.4569
   377.42         185.7807
   377.56         188.9778
   377.70         192.7536
   377.84         196.7518
   377.98         200.5886
   378.12         203.8773
   378.26         206.2567
   378.40         207.4497
   378.54         207.3277
   378.68         205.9434
   378.82         203.5009
   378.96         200.2952
   379.10         196.6728
   379.24         192.9955
   379.38         189.6038
   379.52         186.7953
   379.66         184.8259
   379.80         183.8958
   379.94         184.1253
   380.08         185.5446
   380.22         188.0684
   380.36         191.4674
   380.50         195.3725
   380.64         199.3385
   380.78         202.9266
   380.92         205.7889
   381.06         207.7386
   381.20         208.7594
   381.34         208.9632
   381.48         208.5287
   381.62         207.6575
   381.76         206.5272
   381.90         205.2458
   382.04         203.8401
   382.18         202.2697
   382.32         200.4517
   382.46         198.2908
   382.60         195.7418
   382.74         192.8574
   382.88         189.7740
   383.02         186.6938
   383.16         183.8786
   383.30         181.6252
   383.44         180.2125
   383.58         179.8559
   383.72         180.6703
   383.86         182.6366
   384.00         185.6059
   384.14         189.3303
   384.28         193.4841
   384.42         197.6921
   384.56         201.5917
   384.70         204.9069
   384.84         207.4884
   384.98         209.3103
   385.12         210.4405
   385.26         211.0027
   385.40         211.1251
   385.54         210.8961
   385.68         210.3655
   385.82         209.5711
   385.96         208.5516
   386.10         207.3602
   386.24         206.0672
   386.38         204.7405
   386.52         203.4223
   386.66         202.1320
   386.80         200.8723
   386.94         199.6276
   387.08         198.3694
   387.22         197.0519
   387.36         195.5939
   387.50         193.8663
   387.64         191.7135
   387.78         189.0272
   387.92         185.8128
   388.06         182.1945
   388.20         178.3938
   388.34         174.7106
   388.48         171.4885
   388.62         169.0603
   388.76         167.6961
   388.90         167.5633
   389.04         168.7085
   389.18         171.0528
   389.32         174.4099
   389.46         178.5058
   389.60         182.9986
   389.74         187.5265
   389.88         191.7535
   390.02         195.4065
   390.16         198.3103
   390.30         200.4080
   390.44         201.7517
   390.58         202.4452
   390.72         202.5910
   390.86         202.2848
   391.00         201.6129
   391.14         200.6459
   391.28         199.4424
   391.42         198.0573
   391.56         196.5560
   391.70         195.0196
   391.84         193.5197
   391.98         192.0957
   392.12         190.7639
   392.26         189.5484
   392.40         188.4990
   392.54         187.6700
   392.68         187.1003
   392.82         186.8118
   392.96         186.8112
   393.10         187.0889
   393.24         187.6183
   393.38         188.3647
   393.52         189.2836
   393.66         190.3089
   393.80         191.3549
   393.94         192.3338
   394.08         193.1718
   394.22         193.8135
   394.36         194.2154
   394.50         194.3425
   394.64         194.1801
   394.78         193.7512
   394.92         193.1066
   395.06         192.2797
   395.20         191.2434
   395.34         189.9124
   395.48         188.1678
   395.62         185.8765
   395.76         182.9255
   395.90         179.2814
   396.04         175.0340
   396.18         170.3944
   396.32         165.6613
   396.46         161.1766
   396.60         157.2885
   396.74         154.3126
   396.88         152.4889
   397.02         151.9525
   397.16         152.7206
   397.30         154.6967
   397.44         157.6854
   397.58         161.4081
   397.72         165.5227
   397.86         169.6688
   398.00         173.5253
   398.14         176.8545
   398.28         179.5261
   398.42         181.5251
   398.56         182.9273
   398.70         183.8469
   398.84         184.3894
   398.98         184.6357
   399.12         184.6491
   399.26         184.4806
   399.40         184.1637
   399.54         183.7092
   399.68         183.1099
   399.82         182.3600
   399.96         181.4717
   400.10         180.4733
   400.24         179.4066
   400.38         178.3299
   400.52         177.3098
   400.66         176.4010
   400.80         175.6365
   400.94         175.0239
   401.08         174.5363
   401.22         174.1025
   401.36         173.6169
   401.50         172.9766
   401.64         172.1178
   401.78         171.0320
   401.92         169.7631
   402.06         168.4005
   402.20         167.0674
   402.34         165.9054
   402.48         165.0507
   402.62         164.6071
   402.76         164.6270
   402.90         165.1060
   403.04         165.9836
   403.18         167.1501
