# File BD+61220
# Wavelength [nm]    Normalized Amplitude
   349.70         156.3678
   349.84         156.2525
   349.98         156.0488
   350.12         155.7995
   350.26         155.5517
   350.40         155.4156
   350.54         155.4110
   350.68         155.3976
   350.82         155.2655
   350.96         155.0733
   351.10         154.9827
   351.24         155.0733
   351.38         155.2655
   351.52         155.3976
   351.66         155.4110
   351.80         155.4156
   351.94         155.5517
   352.08         155.7995
   352.22         156.0488
   352.36         156.2525
   352.50         156.3678
   352.64         156.3204
   352.78         156.0556
   352.92         155.6402
   353.06         155.2325
   353.20         154.8695
   353.34         154.5070
   353.48         154.1632
   353.62         153.9008
   353.76         153.7774
   353.90         153.7540
   354.04         153.7002
   354.18         153.5614
   354.32         153.4007
   354.46         153.2259
   354.60         152.9014
   354.74         152.2245
   354.88         151.0908
   355.02         149.6396
   355.16         148.0916
   355.30         146.6104
   355.44         145.4068
   355.58         144.6972
   355.72         144.5687
   355.86         144.9297
   356.00         145.6955
   356.14         146.8599
   356.28         148.3677
   356.42         150.0509
   356.56         151.6432
   356.70         152.9105
   356.84         153.7734
   356.98         154.2009
   357.12         154.1563
   357.26         153.7104
   357.40         153.0482
   357.54         152.4042
   357.68         151.9877
   357.82         151.8592
   357.96         152.0146
   358.10         152.4873
   358.24         153.2487
   358.38         154.1986
   358.52         155.2258
   358.66         156.2728
   358.80         157.1917
   358.94         157.7666
   359.08         157.9376
   359.22         157.7696
   359.36         157.3502
   359.50         156.8044
   359.64         156.2988
   359.78         155.9629
   359.92         155.8573
   360.06         155.9508
   360.20         156.1214
   360.34         156.2170
   360.48         156.0889
   360.62         155.6181
   360.76         154.7427
   360.90         153.4540
   361.04         151.8279
   361.18         150.0515
   361.32         148.3574
   361.46         146.9196
   361.60         145.9506
   361.74         145.6764
   361.88         146.1149
   362.02         147.1373
   362.16         148.6361
   362.30         150.5044
   362.44         152.4973
   362.58         154.3070
   362.72         155.7151
   362.86         156.5791
   363.00         156.7985
   363.14         156.3479
   363.28         155.2951
   363.42         153.7954
   363.56         152.1253
   363.70         150.6219
   363.84         149.5188
   363.98         148.8584
   364.12         148.5813
   364.26         148.6744
   364.40         149.1084
   364.54         149.7846
   364.68         150.6047
   364.82         151.4515
   364.96         152.1913
   365.10         152.7351
   365.24         153.1057
   365.38         153.3668
   365.52         153.4824
   365.66         153.3782
   365.80         153.1086
   365.94         152.8197
   366.08         152.6290
   366.22         152.6085
   366.36         152.7325
   366.50         152.8754
   366.64         152.9340
   366.78         152.9240
   366.92         152.9358
   367.06         153.0168
   367.20         153.1486
   367.34         153.3005
   367.48         153.4772
   367.62         153.7441
   367.76         154.1734
   367.90         154.7712
   368.04         155.5118
   368.18         156.3934
   368.32         157.4220
   368.46         158.5550
   368.60         159.6901
   368.74         160.7444
   368.88         161.6677
   369.02         162.4005
   369.16         162.9216
   369.30         163.2957
   369.44         163.6132
   369.58         163.9035
   369.72         164.1675
   369.86         164.4269
   370.00         164.7244
   370.14         165.1533
   370.28         165.8536
   370.42         166.9364
   370.56         168.4250
   370.70         170.2440
   370.84         172.2126
   370.98         174.1339
   371.12         175.9294
   371.26         177.6155
   371.40         179.2066
   371.54         180.6928
   371.68         182.0713
   371.82         183.3345
   371.96         184.4151
   372.10         185.1602
   372.24         185.4058
   372.38         185.1232
   372.52         184.4478
   372.66         183.6172
   372.80         182.9235
   372.94         182.6611
   373.08         183.0605
   373.22         184.2511
   373.36         186.2557
   373.50         188.9565
   373.64         192.0832
