# File BD-114586
# Wavelength [nm]    Normalized Amplitude
   349.70         1252.6286
   349.84         1255.2470
   349.98         1254.7407
   350.12         1251.2472
   350.26         1245.2090
   350.40         1237.4813
   350.54         1229.2930
   350.68         1222.0303
   350.82         1216.8301
   350.96         1214.0375
   351.10         1213.2160
   351.24         1214.0375
   351.38         1216.8301
   351.52         1222.0303
   351.66         1229.2930
   351.80         1237.4813
   351.94         1245.2090
   352.08         1251.2472
   352.22         1254.7407
   352.36         1255.2470
   352.50         1252.6286
   352.64         1246.9632
   352.78         1238.8541
   352.92         1229.2617
   353.06         1218.9144
   353.20         1208.4996
   353.34         1198.8630
   353.48         1190.6397
   353.62         1184.1328
   353.76         1179.7444
   353.90         1177.8282
   354.04         1178.0701
   354.18         1179.6535
   354.32         1181.6991
   354.46         1183.5172
   354.60         1184.7365
   354.74         1185.3625
   354.88         1185.7131
   355.02         1186.1212
   355.16         1186.8136
   355.30         1188.1237
   355.44         1190.2415
   355.58         1192.9769
   355.72         1196.3190
   355.86         1200.3738
   356.00         1204.5951
   356.14         1207.9750
   356.28         1209.9087
   356.42         1210.5201
   356.56         1210.3244
   356.70         1209.9036
   356.84         1209.6366
   356.98         1209.3562
   357.12         1208.7522
   357.26         1207.8177
   357.40         1206.5265
   357.54         1204.6479
   357.68         1201.9154
   357.82         1198.1561
   357.96         1193.3120
   358.10         1187.4219
   358.24         1181.0034
   358.38         1174.8856
   358.52         1169.5646
   358.66         1165.4486
   358.80         1163.1828
   358.94         1163.1970
   359.08         1165.2451
   359.22         1168.4487
   359.36         1171.4812
   359.50         1173.0423
   359.64         1172.4506
   359.78         1169.7911
   359.92         1165.5637
   360.06         1160.4125
   360.20         1155.1645
   360.34         1150.6714
   360.48         1147.5686
   360.62         1146.2871
   360.76         1147.1383
   360.90         1150.1247
   361.04         1154.6577
   361.18         1159.8041
   361.32         1164.7300
   361.46         1168.6887
   361.60         1171.0064
   361.74         1171.3267
   361.88         1169.5520
   362.02         1165.7141
   362.16         1160.1814
   362.30         1153.5713
   362.44         1146.5554
   362.58         1139.8497
   362.72         1133.9957
   362.86         1129.2653
   363.00         1125.8011
   363.14         1123.6925
   363.28         1122.8498
   363.42         1123.0546
   363.56         1124.1472
   363.70         1126.0011
   363.84         1128.6210
   363.98         1132.1833
   364.12         1136.6210
   364.26         1141.4971
   364.40         1146.3098
   364.54         1150.5685
   364.68         1153.8270
   364.82         1155.8543
   364.96         1156.5084
   365.10         1155.5979
   365.24         1152.9501
   365.38         1148.4449
   365.52         1142.1904
   365.66         1134.5567
   365.80         1125.9117
   365.94         1116.5509
   366.08         1106.9845
   366.22         1097.9604
   366.36         1090.1932
   366.50         1084.2326
   366.64         1080.2755
   366.78         1078.0608
   366.92         1077.2008
   367.06         1077.3513
   367.20         1078.0303
   367.34         1078.7113
   367.48         1079.0974
   367.62         1079.0214
   367.76         1078.3265
   367.90         1077.0466
   368.04         1075.4146
   368.18         1073.7788
   368.32         1072.5660
   368.46         1071.9658
   368.60         1071.6913
   368.74         1071.2375
   368.88         1070.1864
   369.02         1068.2443
   369.16         1065.1336
   369.30         1060.5610
   369.44         1054.4058
   369.58         1046.8805
   369.72         1038.4625
   369.86         1029.7555
   370.00         1021.3756
   370.14         1013.7726
   370.28         1007.0433
   370.42         1001.1288
   370.56         996.2838
   370.70         992.9043
   370.84         991.0859
   370.98         990.5743
   371.12         990.8306
   371.26         991.4187
   371.40         992.3992
   371.54         994.1517
   371.68         996.8960
   371.82         1000.5912
   371.96         1005.2261
   372.10         1010.7731
   372.24         1016.8604
   372.38         1022.7573
   372.52         1027.6883
   372.66         1031.2906
   372.80         1033.7440
   372.94         1035.3989
   373.08         1036.6553
   373.22         1037.9290
   373.36         1039.2264
   373.50         1040.1736
   373.64         1040.3724
   373.78         1039.3909
   373.92         1036.8425
   374.06         1032.5455
   374.20         1026.5357
   374.34         1018.9523
   374.48         1010.0038
   374.62         1000.0148
   374.76         989.3762
   374.90         978.7723
   375.04         969.2836
   375.18         962.0552
   375.32         958.0591
   375.46         957.7597
   375.60         960.7954
   375.74         966.1037
   375.88         972.1769
   376.02         977.4778
   376.16         980.9908
   376.30         982.4065
   376.44         982.0415
   376.58         980.7028
   376.72         979.3411
   376.86         978.6699
   377.00         979.1570
   377.14         981.2771
   377.28         985.4861
   377.42         991.9555
   377.56         1000.4893
   377.70         1010.4919
   377.84         1021.1067
   377.98         1031.3654
   378.12         1040.0592
   378.26         1045.8849
   378.40         1047.8764
   378.54         1045.7216
   378.68         1039.7803
   378.82         1030.8294
   378.96         1019.8411
   379.10         1007.8821
   379.24         996.0595
   379.38         985.5281
   379.52         977.3652
   379.66         972.3699
   379.80         971.0728
   379.94         973.5788
   380.08         979.3906
   380.22         987.6701
   380.36         997.5333
   380.50         1008.0100
   380.64         1017.7814
   380.78         1025.3248
   380.92         1029.4805
   381.06         1029.7731
   381.20         1026.5484
   381.34         1020.8183
   381.48         1013.7692
   381.62         1006.4595
   381.76         999.6995
   381.90         993.9037
   382.04         989.0130
   382.18         984.5339
   382.32         979.7304
   382.46         973.9735
   382.60         966.9659
   382.74         958.7004
   382.88         949.4509
   383.02         939.7642
   383.16         930.3326
   383.30         921.9985
   383.44         915.7620
   383.58         912.6118
   383.72         913.2241
   383.86         917.7217
   384.00         925.5918
   384.14         935.8286
   384.28         947.2431
   384.42         958.6128
   384.56         968.7596
   384.70         976.7823
   384.84         982.1956
   384.98         984.9566
   385.12         985.4536
   385.26         984.3331
   385.40         982.2709
   385.54         979.8618
   385.68         977.5338
   385.82         975.4842
   385.96         973.7212
   386.10         972.1184
   386.24         970.5749
   386.38         969.0721
   386.52         967.6073
   386.66         966.1579
   386.80         964.6030
   386.94         962.7737
   387.08         960.5956
   387.22         958.0427
   387.36         954.9539
   387.50         950.9593
   387.64         945.6291
   387.78         938.6679
   387.92         930.0856
   388.06         920.3040
   388.20         910.0347
   388.34         900.1088
   388.48         891.3513
   388.62         884.5595
   388.76         880.4774
   388.90         879.5599
   389.04         881.8694
   389.18         887.2027
   389.32         895.0625
   389.46         904.5819
   389.60         914.7357
   389.74         924.5635
   389.88         933.1130
   390.02         939.6081
   390.16         943.7981
   390.30         945.9490
   390.44         946.6122
   390.58         946.4106
   390.72         945.8932
   390.86         945.3445
   391.00         944.6543
   391.14         943.5822
   391.28         942.0577
   391.42         940.0640
   391.56         937.6008
   391.70         934.8602
   391.84         932.0514
   391.98         929.0528
   392.12         925.5262
   392.26         921.3506
   392.40         916.7335
   392.54         912.0580
   392.68         907.9303
   392.82         904.9842
   392.96         903.5495
   393.10         903.7126
   393.24         905.4350
   393.38         908.4452
   393.52         912.1838
   393.66         916.0853
   393.80         919.8138
   393.94         923.1843
   394.08         926.0366
   394.22         928.2190
   394.36         929.5562
   394.50         929.7504
   394.64         928.5444
   394.78         925.9924
   394.92         922.3273
   395.06         917.7163
   395.20         912.2117
   395.34         905.7487
   395.48         898.0265
   395.62         888.4905
   395.76         876.6282
   395.90         862.3673
   396.04         846.2307
   396.18         829.3496
   396.32         813.2901
   396.46         799.5380
   396.60         789.1438
   396.74         782.7350
   396.88         780.5978
   397.02         782.6150
   397.16         788.1981
   397.30         796.4918
   397.44         806.5326
   397.58         817.3127
   397.72         827.9815
   397.86         837.8276
   398.00         846.1283
   398.14         852.2844
   398.28         856.1029
   398.42         857.9425
   398.56         858.5451
   398.70         858.5789
   398.84         858.3733
   398.98         857.9674
   399.12         857.2324
   399.26         855.9986
   399.40         854.1938
   399.54         851.9015
   399.68         849.2477
   399.82         846.3143
   399.96         843.1878
   400.10         839.9933
   400.24         836.9372
   400.38         834.2983
   400.52         832.2651
   400.66         830.8491
   400.80         829.9879
   400.94         829.6425
   401.08         829.6346
   401.22         829.4743
   401.36         828.5121
   401.50         826.2417
   401.64         822.5199
   401.78         817.5908
   401.92         811.9540
   402.06         806.2690
   402.20         801.2508
   402.34         797.4369
   402.48         795.1275
   402.62         794.4981
   402.76         795.5685
   402.90         798.0823
   403.04         801.5354
   403.18         805.3105
   403.32         808.7951
   403.46         811.5127
   403.60         813.1156
   403.74         813.2928
   403.88         811.9944
   404.02         809.6517
   404.16         807.0130
   404.30         804.8348
   404.44         803.5557
   404.58         803.2341
   404.72         803.7346
   404.86         804.8232
   405.00         806.1261
   405.14         807.1374
   405.28         807.4109
   405.42         806.6994
   405.56         804.8446
   405.70         801.7775
   405.84         797.5959
   405.98         792.5446
   406.12         786.9794
   406.26         781.2174
   406.40         775.5287
   406.54         770.2356
   406.68         765.5977
   406.82         761.7310
   406.96         758.6408
   407.10         756.2728
   407.24         754.6107
   407.38         753.5763
   407.52         752.8559
   407.66         752.0085
   407.80         750.6737
   407.94         748.6482
   408.08         745.8291
   408.22         742.1970
   408.36         737.8764
   408.50         732.9886
   408.64         727.4845
   408.78         721.1047
   408.92         713.4312
   409.06         704.2510
   409.20         693.7831
   409.34         682.5657
   409.48         671.4216
   409.62         661.3859
   409.76         653.5031
   409.90         648.5814
   410.04         646.9759
   410.18         648.6883
   410.32         653.5131
   410.46         660.9313
   410.60         670.1322
   410.74         680.2768
   410.88         690.5722
   411.02         700.1557
   411.16         708.1671
   411.30         714.0649
   411.44         717.7316
   411.58         719.4045
   411.72         719.6911
   411.86         719.3569
   412.00         719.0647
   412.14         719.2578
   412.28         720.0653
   412.42         721.3202
   412.56         722.6190
   412.70         723.5189
   412.84         723.8254
   412.98         723.5088
   413.12         722.5316
   413.26         720.9312
   413.40         718.8466
   413.54         716.4097
   413.68         713.7047
   413.82         710.8619
   413.96         708.1400
   414.10         705.8197
   414.24         704.1622
   414.38         703.3624
   414.52         703.3866
   414.66         704.0217
   414.80         705.0021
   414.94         706.0607
   415.08         706.9660
   415.22         707.5325
   415.36         707.6811
   415.50         707.4524
   415.64         706.8772
   415.78         705.9350
   415.92         704.6338
   416.06         703.0591
   416.20         701.3814
   416.34         699.8223
   416.48         698.6007
   416.62         697.8352
   416.76         697.4416
   416.90         697.1852
   417.04         696.7508
   417.18         695.8590
   417.32         694.4504
   417.46         692.6067
   417.60         690.3040
   417.74         687.4468
   417.88         684.0670
   418.02         680.3442
   418.16         676.5056
   418.30         672.7307
   418.44         669.1314
   418.58         665.7749
   418.72         662.7065
   418.86         659.9160
   419.00         657.2814
   419.14         654.6458
   419.28         651.8875
   419.42         648.9608
   419.56         646.0000
   419.70         643.3224
   419.84         641.2742
   419.98         640.0551
   420.12         639.6429
   420.26         639.9161
   420.40         640.8397
   420.54         642.3890
   420.68         644.3899
   420.82         646.5790
   420.96         648.6912
   421.10         650.4772
   421.24         651.8086
   421.38         652.7961
   421.52         653.6510
   421.66         654.5181
   421.80         655.4728
   421.94         656.4739
   422.08         657.3709
   422.22         658.0174
   422.36         658.2763
   422.50         657.9737
   422.64         656.9990
   422.78         655.4459
