# File FEIGE28
# Wavelength [nm]    Normalized Amplitude
   349.70         1.9420
   349.84         1.9408
   349.98         1.9416
   350.12         1.9437
   350.26         1.9463
   350.40         1.9487
   350.54         1.9499
   350.68         1.9499
   350.82         1.9491
   350.96         1.9482
   351.10         1.9477
   351.24         1.9482
   351.38         1.9491
   351.52         1.9499
   351.66         1.9499
   351.80         1.9487
   351.94         1.9463
   352.08         1.9437
   352.22         1.9416
   352.36         1.9408
   352.50         1.9420
   352.64         1.9460
   352.78         1.9526
   352.92         1.9609
   353.06         1.9696
   353.20         1.9782
   353.34         1.9857
   353.48         1.9907
   353.62         1.9921
   353.76         1.9889
   353.90         1.9809
   354.04         1.9686
   354.18         1.9528
   354.32         1.9346
   354.46         1.9156
   354.60         1.8980
   354.74         1.8832
   354.88         1.8721
   355.02         1.8652
   355.16         1.8619
   355.30         1.8610
   355.44         1.8604
   355.58         1.8585
   355.72         1.8551
   355.86         1.8504
   356.00         1.8438
   356.14         1.8350
   356.28         1.8242
   356.42         1.8122
   356.56         1.8004
   356.70         1.7897
   356.84         1.7811
   356.98         1.7754
   357.12         1.7735
   357.26         1.7750
   357.40         1.7790
   357.54         1.7840
   357.68         1.7883
   357.82         1.7897
   357.96         1.7864
   358.10         1.7784
   358.24         1.7668
   358.38         1.7535
   358.52         1.7398
   358.66         1.7271
   358.80         1.7178
   358.94         1.7140
   359.08         1.7173
   359.22         1.7278
   359.36         1.7445
   359.50         1.7652
   359.64         1.7874
   359.78         1.8081
   359.92         1.8247
   360.06         1.8351
   360.20         1.8381
   360.34         1.8336
   360.48         1.8224
   360.62         1.8061
   360.76         1.7867
   360.90         1.7664
   361.04         1.7478
   361.18         1.7335
   361.32         1.7255
   361.46         1.7253
   361.60         1.7333
   361.74         1.7491
   361.88         1.7716
   362.02         1.7986
   362.16         1.8272
   362.30         1.8544
   362.44         1.8776
   362.58         1.8948
   362.72         1.9045
   362.86         1.9068
   363.00         1.9027
   363.14         1.8940
   363.28         1.8833
   363.42         1.8734
   363.56         1.8671
   363.70         1.8655
   363.84         1.8689
   363.98         1.8767
   364.12         1.8881
   364.26         1.9012
   364.40         1.9144
   364.54         1.9264
   364.68         1.9363
   364.82         1.9440
   364.96         1.9494
   365.10         1.9528
   365.24         1.9542
   365.38         1.9539
   365.52         1.9527
   365.66         1.9514
   365.80         1.9497
   365.94         1.9473
   366.08         1.9437
   366.22         1.9379
   366.36         1.9293
   366.50         1.9184
   366.64         1.9059
   366.78         1.8928
   366.92         1.8794
   367.06         1.8661
   367.20         1.8532
   367.34         1.8408
   367.48         1.8289
   367.62         1.8178
   367.76         1.8081
   367.90         1.8012
   368.04         1.7983
   368.18         1.8001
   368.32         1.8064
   368.46         1.8164
   368.60         1.8293
   368.74         1.8447
   368.88         1.8620
   369.02         1.8813
   369.16         1.9018
   369.30         1.9219
   369.44         1.9395
   369.58         1.9530
   369.72         1.9622
   369.86         1.9674
   370.00         1.9685
   370.14         1.9655
   370.28         1.9586
   370.42         1.9489
   370.56         1.9379
   370.70         1.9276
   370.84         1.9197
   370.98         1.9149
   371.12         1.9130
   371.26         1.9139
   371.40         1.9178
   371.54         1.9246
   371.68         1.9338
   371.82         1.9453
   371.96         1.9591
   372.10         1.9750
   372.24         1.9917
   372.38         2.0069
   372.52         2.0183
   372.66         2.0248
   372.80         2.0275
   372.94         2.0293
   373.08         2.0339
   373.22         2.0445
   373.36         2.0622
   373.50         2.0857
   373.64         2.1126
   373.78         2.1397
   373.92         2.1636
   374.06         2.1807
   374.20         2.1884
   374.34         2.1854
   374.48         2.1730
   374.62         2.1541
   374.76         2.1329
   374.90         2.1149
   375.04         2.1062
   375.18         2.1127
   375.32         2.1382
   375.46         2.1822
   375.60         2.2403
   375.74         2.3045
   375.88         2.3641
   376.02         2.4085
   376.16         2.4301
   376.30         2.4260
   376.44         2.3986
   376.58         2.3552
   376.72         2.3064
   376.86         2.2642
   377.00         2.2398
   377.14         2.2424
   377.28         2.2778
   377.42         2.3478
   377.56         2.4492
   377.70         2.5752
   377.84         2.7155
   377.98         2.8573
   378.12         2.9871
   378.26         3.0926
   378.40         3.1640
   378.54         3.1947
   378.68         3.1825
   378.82         3.1303
   378.96         3.0460
   379.10         2.9404
   379.24         2.8263
   379.38         2.7166
   379.52         2.6238
