# File HD64191
# Wavelength [nm]    Normalized Amplitude
   349.70         5.3702
   349.84         5.3860
   349.98         5.4116
   350.12         5.4427
   350.26         5.4765
   350.40         5.5108
   350.54         5.5434
   350.68         5.5716
   350.82         5.5926
   350.96         5.6049
   351.10         5.6088
   351.24         5.6049
   351.38         5.5926
   351.52         5.5716
   351.66         5.5434
   351.80         5.5108
   351.94         5.4765
   352.08         5.4427
   352.22         5.4116
   352.36         5.3860
   352.50         5.3702
   352.64         5.3682
   352.78         5.3827
   352.92         5.4148
   353.06         5.4630
   353.20         5.5234
   353.34         5.5904
   353.48         5.6594
   353.62         5.7265
   353.76         5.7887
   353.90         5.8424
   354.04         5.8843
   354.18         5.9120
   354.32         5.9257
   354.46         5.9276
   354.60         5.9206
   354.74         5.9079
   354.88         5.8922
   355.02         5.8751
   355.16         5.8570
   355.30         5.8372
   355.44         5.8142
   355.58         5.7860
   355.72         5.7511
   355.86         5.7081
   356.00         5.6565
   356.14         5.5970
   356.28         5.5319
   356.42         5.4649
   356.56         5.3996
   356.70         5.3391
   356.84         5.2869
   356.98         5.2459
   357.12         5.2161
   357.26         5.1952
   357.40         5.1799
   357.54         5.1678
   357.68         5.1573
   357.82         5.1476
   357.96         5.1386
   358.10         5.1323
   358.24         5.1310
   358.38         5.1367
   358.52         5.1504
   358.66         5.1734
   358.80         5.2067
   358.94         5.2495
   359.08         5.2984
   359.22         5.3481
   359.36         5.3936
   359.50         5.4313
   359.64         5.4581
   359.78         5.4725
   359.92         5.4748
   360.06         5.4670
   360.20         5.4515
   360.34         5.4304
   360.48         5.4065
   360.62         5.3834
   360.76         5.3640
   360.90         5.3495
   361.04         5.3410
   361.18         5.3411
   361.32         5.3525
   361.46         5.3757
   361.60         5.4099
   361.74         5.4532
   361.88         5.5025
   362.02         5.5521
   362.16         5.5956
   362.30         5.6277
   362.44         5.6448
   362.58         5.6456
   362.72         5.6313
   362.86         5.6047
   363.00         5.5706
   363.14         5.5344
