# File HZ948
# Wavelength [nm]    Normalized Amplitude
   349.70         6.9544
   349.84         6.9463
   349.98         6.9419
   350.12         6.9381
   350.26         6.9337
   350.40         6.9285
   350.54         6.9225
   350.68         6.9158
   350.82         6.9098
   350.96         6.9056
   351.10         6.9042
   351.24         6.9056
   351.38         6.9098
   351.52         6.9158
   351.66         6.9225
   351.80         6.9285
   351.94         6.9337
   352.08         6.9381
   352.22         6.9419
   352.36         6.9463
   352.50         6.9544
   352.64         6.9696
   352.78         6.9945
   352.92         7.0301
   353.06         7.0760
   353.20         7.1305
   353.34         7.1922
   353.48         7.2588
   353.62         7.3272
   353.76         7.3941
   353.90         7.4563
   354.04         7.5107
   354.18         7.5547
   354.32         7.5859
   354.46         7.6028
   354.60         7.6040
   354.74         7.5895
   354.88         7.5604
   355.02         7.5197
   355.16         7.4705
   355.30         7.4147
   355.44         7.3534
   355.58         7.2877
   355.72         7.2189
   355.86         7.1470
   356.00         7.0714
   356.14         6.9915
   356.28         6.9083
   356.42         6.8238
   356.56         6.7405
   356.70         6.6610
   356.84         6.5876
   356.98         6.5222
   357.12         6.4666
   357.26         6.4213
   357.40         6.3854
   357.54         6.3570
   357.68         6.3329
   357.82         6.3103
   357.96         6.2880
   358.10         6.2681
   358.24         6.2546
   358.38         6.2523
   358.52         6.2658
   358.66         6.2991
   358.80         6.3554
   358.94         6.4338
   359.08         6.5294
   359.22         6.6335
   359.36         6.7363
   359.50         6.8292
   359.64         6.9056
   359.78         6.9604
   359.92         6.9899
   360.06         6.9932
   360.20         6.9718
   360.34         6.9298
   360.48         6.8733
   360.62         6.8091
   360.76         6.7438
   360.90         6.6818
   361.04         6.6266
   361.18         6.5806
   361.32         6.5460
   361.46         6.5242
   361.60         6.5156
   361.74         6.5205
   361.88         6.5387
   362.02         6.5689
   362.16         6.6072
   362.30         6.6474
   362.44         6.6832
   362.58         6.7096
   362.72         6.7247
   362.86         6.7300
   363.00         6.7296
   363.14         6.7270
   363.28         6.7241
   363.42         6.7228
   363.56         6.7247
   363.70         6.7312
   363.84         6.7431
   363.98         6.7615
   364.12         6.7868
   364.26         6.8189
   364.40         6.8569
   364.54         6.8995
   364.68         6.9459
   364.82         6.9964
   364.96         7.0535
   365.10         7.1197
   365.24         7.1962
   365.38         7.2824
   365.52         7.3751
   365.66         7.4676
   365.80         7.5524
   365.94         7.6237
   366.08         7.6794
   366.22         7.7188
   366.36         7.7427
   366.50         7.7519
   366.64         7.7472
   366.78         7.7288
   366.92         7.6979
   367.06         7.6565
   367.20         7.6076
   367.34         7.5546
   367.48         7.5002
   367.62         7.4467
   367.76         7.3971
   367.90         7.3547
   368.04         7.3231
   368.18         7.3054
   368.32         7.3040
   368.46         7.3202
   368.60         7.3535
   368.74         7.4013
   368.88         7.4598
   369.02         7.5237
   369.16         7.5863
   369.30         7.6411
   369.44         7.6830
   369.58         7.7084
   369.72         7.7149
   369.86         7.7024
   370.00         7.6730
   370.14         7.6314
   370.28         7.5848
   370.42         7.5423
   370.56         7.5124
   370.70         7.5011
   370.84         7.5104
   370.98         7.5371
   371.12         7.5750
   371.26         7.6174
   371.40         7.6588
   371.54         7.6946
   371.68         7.7215
   371.82         7.7374
   371.96         7.7421
   372.10         7.7359
   372.24         7.7177
   372.38         7.6863
   372.52         7.6417
   372.66         7.5865
   372.80         7.5274
   372.94         7.4733
   373.08         7.4316
   373.22         7.4069
   373.36         7.4000
   373.50         7.4082
   373.64         7.4265
   373.78         7.4482
   373.92         7.4668
   374.06         7.4782
   374.20         7.4818
   374.34         7.4813
   374.48         7.4815
   374.62         7.4856
   374.76         7.4940
   374.90         7.5088
   375.04         7.5355
   375.18         7.5807
   375.32         7.6500
   375.46         7.7442
   375.60         7.8565
   375.74         7.9725
   375.88         8.0745
   376.02         8.1473
   376.16         8.1822
   376.30         8.1800
   376.44         8.1498
   376.58         8.1083
   376.72         8.0763
   376.86         8.0738
   377.00         8.1148
   377.14         8.2053
   377.28         8.3435
   377.42         8.5236
