# File SAO76803
# Wavelength [nm]    Normalized Amplitude
   349.70         4.4997
   349.84         4.4913
   349.98         4.5135
   350.12         4.5572
   350.26         4.6070
   350.40         4.6489
   350.54         4.6761
   350.68         4.6916
   350.82         4.7008
   350.96         4.7056
   351.10         4.7069
   351.24         4.7056
   351.38         4.7008
   351.52         4.6916
   351.66         4.6761
   351.80         4.6489
   351.94         4.6070
   352.08         4.5572
   352.22         4.5135
   352.36         4.4913
   352.50         4.4997
   352.64         4.5429
   352.78         4.6235
   352.92         4.7441
   353.06         4.9076
   353.20         5.1132
   353.34         5.3508
   353.48         5.5931
   353.62         5.8068
   353.76         5.9705
   353.90         6.0785
   354.04         6.1361
   354.18         6.1535
   354.32         6.1353
   354.46         6.0787
   354.60         5.9867
   354.74         5.8723
   354.88         5.7500
   355.02         5.6291
   355.16         5.5115
   355.30         5.3941
   355.44         5.2713
   355.58         5.1342
   355.72         4.9751
   355.86         4.7957
   356.00         4.6050
   356.14         4.4130
   356.28         4.2274
   356.42         4.0552
   356.56         3.9063
   356.70         3.7899
   356.84         3.7059
   356.98         3.6463
   357.12         3.6051
   357.26         3.5807
   357.40         3.5650
   357.54         3.5435
   357.68         3.5036
   357.82         3.4389
   357.96         3.3515
   358.10         3.2529
   358.24         3.1644
   358.38         3.1122
   358.52         3.1191
   358.66         3.1973
   358.80         3.3498
   358.94         3.5751
   359.08         3.8669
   359.22         4.2090
   359.36         4.5744
   359.50         4.9309
   359.64         5.2477
   359.78         5.5017
   359.92         5.6788
   360.06         5.7716
   360.20         5.7803
   360.34         5.7176
   360.48         5.6067
   360.62         5.4736
   360.76         5.3417
   360.90         5.2314
   361.04         5.1599
   361.18         5.1390
   361.32         5.1736
   361.46         5.2631
   361.60         5.3993
   361.74         5.5649
   361.88         5.7409
   362.02         5.9108
   362.16         6.0572
   362.30         6.1674
   362.44         6.2426
   362.58         6.2961
   362.72         6.3470
   362.86         6.4153
   363.00         6.5144
   363.14         6.6458
   363.28         6.8008
   363.42         6.9662
   363.56         7.1290
   363.70         7.2754
   363.84         7.3970
   363.98         7.4941
   364.12         7.5672
   364.26         7.6122
   364.40         7.6271
   364.54         7.6227
   364.68         7.6232
   364.82         7.6587
   364.96         7.7578
   365.10         7.9382
   365.24         8.1997
   365.38         8.5248
   365.52         8.8851
   365.66         9.2486
   365.80         9.5859
   365.94         9.8713
   366.08         10.0876
   366.22         10.2291
   366.36         10.2983
   366.50         10.3041
   366.64         10.2506
   366.78         10.1346
   366.92         9.9602
   367.06         9.7452
   367.20         9.5135
   367.34         9.2833
   367.48         9.0603
   367.62         8.8423
   367.76         8.6275
   367.90         8.4222
   368.04         8.2426
   368.18         8.1029
   368.32         8.0100
   368.46         7.9639
   368.60         7.9620
   368.74         8.0058
   368.88         8.0990
   369.02         8.2403
   369.16         8.4183
   369.30         8.6115
   369.44         8.7973
   369.58         8.9562
   369.72         9.0679
   369.86         9.1144
   370.00         9.0885
   370.14         8.9990
   370.28         8.8681
   370.42         8.7225
   370.56         8.5845
   370.70         8.4651
   370.84         8.3612
   370.98         8.2624
   371.12         8.1577
   371.26         8.0390
   371.40         7.9050
   371.54         7.7545
   371.68         7.5829
   371.82         7.3859
   371.96         7.1653
   372.10         6.9280
   372.24         6.6830
   372.38         6.4399
   372.52         6.2073
   372.66         5.9938
   372.80         5.8025
   372.94         5.6311
   373.08         5.4731
   373.22         5.3229
   373.36         5.1800
   373.50         5.0453
   373.64         4.9200
   373.78         4.8086
   373.92         4.7200
   374.06         4.6635
   374.20         4.6450
   374.34         4.6687
   374.48         4.7342
   374.62         4.8327
   374.76         4.9499
   374.90         5.0742
   375.04         5.1994
   375.18         5.3229
   375.32         5.4445
   375.46         5.5627
   375.60         5.6755
   375.74         5.7821
   375.88         5.8840
   376.02         5.9854
   376.16         6.0908
   376.30         6.2099
   376.44         6.3581
   376.58         6.5489
   376.72         6.7881
   376.86         7.0747
   377.00         7.3990
   377.14         7.7415
   377.28         8.0814
   377.42         8.4034
   377.56         8.6940
   377.70         8.9374
   377.84         9.1143
   377.98         9.2078
   378.12         9.2084
   378.26         9.1154
   378.40         8.9338
   378.54         8.6739
   378.68         8.3500
   378.82         7.9802
   378.96         7.5876
   379.10         7.2002
   379.24         6.8489
   379.38         6.5639
   379.52         6.3660
   379.66         6.2618
   379.80         6.2460
   379.94         6.3058
   380.08         6.4208
   380.22         6.5632
   380.36         6.7033
   380.50         6.8132
   380.64         6.8707
   380.78         6.8608
   380.92         6.7757
   381.06         6.6133
   381.20         6.3771
   381.34         6.0775
   381.48         5.7328
   381.62         5.3676
   381.76         5.0061
   381.90         4.6666
   382.04         4.3582
   382.18         4.0839
   382.32         3.8460
   382.46         3.6479
   382.60         3.4933
   382.74         3.3806
   382.88         3.2983
   383.02         3.2316
   383.16         3.1738
   383.30         3.1296
   383.44         3.1061
   383.58         3.1076
   383.72         3.1386
   383.86         3.2032
   384.00         3.3028
   384.14         3.4350
   384.28         3.5933
   384.42         3.7697
   384.56         3.9555
   384.70         4.1400
   384.84         4.3115
   384.98         4.4625
   385.12         4.5900
   385.26         4.6917
   385.40         4.7640
   385.54         4.8047
   385.68         4.8184
   385.82         4.8146
   385.96         4.7989
   386.10         4.7714
   386.24         4.7334
   386.38         4.6912
   386.52         4.6518
   386.66         4.6193
   386.80         4.5953
   386.94         4.5790
   387.08         4.5702
   387.22         4.5708
   387.36         4.5840
   387.50         4.6141
   387.64         4.6670
   387.78         4.7493
   387.92         4.8686
   388.06         5.0344
   388.20         5.2582
   388.34         5.5478
   388.48         5.9029
   388.62         6.3153
   388.76         6.7705
   388.90         7.2489
   389.04         7.7279
   389.18         8.1830
   389.32         8.5896
   389.46         8.9285
   389.60         9.1884
   389.74         9.3679
   389.88         9.4739
   390.02         9.5182
   390.16         9.5189
   390.30         9.5010
   390.44         9.4921
   390.58         9.5114
   390.72         9.5618
   390.86         9.6298
   391.00         9.6897
   391.14         9.7153
   391.28         9.6881
   391.42         9.5970
   391.56         9.4347
   391.70         9.1962
   391.84         8.8775
   391.98         8.4783
   392.12         8.0045
   392.26         7.4695
   392.40         6.8951
   392.54         6.3100
   392.68         5.7455
   392.82         5.2322
   392.96         4.7957
   393.10         4.4540
   393.24         4.2177
   393.38         4.0944
   393.52         4.0900
   393.66         4.2089
   393.80         4.4516
   393.94         4.8094
   394.08         5.2620
   394.22         5.7801
   394.36         6.3325
   394.50         6.8905
   394.64         7.4306
   394.78         7.9340
   394.92         8.3836
   395.06         8.7617
   395.20         9.0486
   395.34         9.2239
   395.48         9.2700
   395.62         9.1758
   395.76         8.9400
   395.90         8.5734
   396.04         8.1009
   396.18         7.5601
   396.32         7.0002
   396.46         6.4766
   396.60         6.0444
   396.74         5.7516
   396.88         5.6355
   397.02         5.7202
   397.16         6.0122
   397.30         6.5000
   397.44         7.1560
   397.58         7.9420
   397.72         8.8141
   397.86         9.7270
   398.00         10.6383
   398.14         11.5118
   398.28         12.3180
   398.42         13.0366
   398.56         13.6597
   398.70         14.1889
   398.84         14.6356
   398.98         15.0171
   399.12         15.3499
   399.26         15.6426
   399.40         15.8951
   399.54         16.1050
   399.68         16.2743
   399.82         16.4084
   399.96         16.5130
   400.10         16.5969
   400.24         16.6732
   400.38         16.7556
   400.52         16.8545
   400.66         16.9769
   400.80         17.1258
   400.94         17.2985
   401.08         17.4883
   401.22         17.6868
   401.36         17.8852
   401.50         18.0724
   401.64         18.2322
