# File YALE1755
# Wavelength [nm]    Normalized Amplitude
   349.70         0.4452
   349.84         0.4472
   349.98         0.4528
   350.12         0.4618
   350.26         0.4729
   350.40         0.4847
   350.54         0.4960
   350.68         0.5058
   350.82         0.5135
   350.96         0.5187
   351.10         0.5206
   351.24         0.5187
   351.38         0.5135
   351.52         0.5058
   351.66         0.4960
   351.80         0.4847
   351.94         0.4729
   352.08         0.4618
   352.22         0.4528
   352.36         0.4472
   352.50         0.4452
   352.64         0.4471
   352.78         0.4525
   352.92         0.4608
   353.06         0.4714
   353.20         0.4836
   353.34         0.4970
   353.48         0.5107
   353.62         0.5233
   353.76         0.5334
   353.90         0.5408
   354.04         0.5455
   354.18         0.5478
   354.32         0.5480
   354.46         0.5471
   354.60         0.5454
   354.74         0.5425
   354.88         0.5381
   355.02         0.5319
   355.16         0.5230
   355.30         0.5110
   355.44         0.4960
   355.58         0.4788
   355.72         0.4602
   355.86         0.4405
   356.00         0.4200
   356.14         0.3988
   356.28         0.3769
   356.42         0.3558
   356.56         0.3368
   356.70         0.3210
   356.84         0.3088
   356.98         0.2999
   357.12         0.2934
   357.26         0.2883
   357.40         0.2842
   357.54         0.2812
   357.68         0.2795
   357.82         0.2794
   357.96         0.2814
   358.10         0.2863
   358.24         0.2946
   358.38         0.3061
   358.52         0.3203
   358.66         0.3365
   358.80         0.3540
   358.94         0.3723
   359.08         0.3910
   359.22         0.4093
   359.36         0.4253
   359.50         0.4375
   359.64         0.4445
   359.78         0.4461
   359.92         0.4428
   360.06         0.4353
   360.20         0.4253
   360.34         0.4148
   360.48         0.4051
   360.62         0.3968
   360.76         0.3902
   360.90         0.3860
   361.04         0.3848
   361.18         0.3871
   361.32         0.3929
   361.46         0.4019
   361.60         0.4137
   361.74         0.4269
   361.88         0.4400
   362.02         0.4520
   362.16         0.4626
   362.30         0.4720
   362.44         0.4799
   362.58         0.4862
   362.72         0.4915
   362.86         0.4961
   363.00         0.4997
   363.14         0.5016
   363.28         0.5021
   363.42         0.5010
   363.56         0.4976
   363.70         0.4908
   363.84         0.4805
   363.98         0.4673
   364.12         0.4521
   364.26         0.4361
   364.40         0.4209
   364.54         0.4082
   364.68         0.3999
   364.82         0.3968
   364.96         0.3991
   365.10         0.4062
   365.24         0.4179
   365.38         0.4337
   365.52         0.4526
   365.66         0.4726
   365.80         0.4920
   365.94         0.5087
   366.08         0.5207
   366.22         0.5272
   366.36         0.5293
   366.50         0.5284
   366.64         0.5255
   366.78         0.5210
   366.92         0.5157
   367.06         0.5105
   367.20         0.5062
   367.34         0.5029
   367.48         0.5005
   367.62         0.4983
   367.76         0.4966
   367.90         0.4959
   368.04         0.4965
   368.18         0.4985
   368.32         0.5017
   368.46         0.5065
   368.60         0.5126
   368.74         0.5202
   368.88         0.5288
   369.02         0.5377
   369.16         0.5460
   369.30         0.5527
   369.44         0.5568
   369.58         0.5574
   369.72         0.5538
   369.86         0.5461
   370.00         0.5348
   370.14         0.5208
   370.28         0.5055
   370.42         0.4907
   370.56         0.4776
   370.70         0.4670
   370.84         0.4589
   370.98         0.4522
   371.12         0.4464
   371.26         0.4405
   371.40         0.4343
   371.54         0.4276
   371.68         0.4206
   371.82         0.4138
   371.96         0.4071
   372.10         0.4004
   372.24         0.3939
   372.38         0.3872
   372.52         0.3799
   372.66         0.3717
   372.80         0.3624
   372.94         0.3527
   373.08         0.3436
   373.22         0.3354
   373.36         0.3284
   373.50         0.3221
   373.64         0.3169
   373.78         0.3134
   373.92         0.3119
   374.06         0.3130
   374.20         0.3169
   374.34         0.3239
   374.48         0.3335
   374.62         0.3451
   374.76         0.3579
   374.90         0.3714
   375.04         0.3855
   375.18         0.4002
   375.32         0.4156
   375.46         0.4315
   375.60         0.4472
   375.74         0.4622
   375.88         0.4758
   376.02         0.4879
   376.16         0.4992
   376.30         0.5111
   376.44         0.5249
   376.58         0.5412
   376.72         0.5597
   376.86         0.5799
   377.00         0.6006
   377.14         0.6205
   377.28         0.6382
   377.42         0.6525
   377.56         0.6623
   377.70         0.6667
   377.84         0.6657
   377.98         0.6600
   378.12         0.6511
   378.26         0.6408
   378.40         0.6304
   378.54         0.6208
   378.68         0.6125
   378.82         0.6063
   378.96         0.6023
   379.10         0.6002
   379.24         0.5993
   379.38         0.5991
   379.52         0.5998
   379.66         0.6014
   379.80         0.6039
   379.94         0.6073
   380.08         0.6111
   380.22         0.6154
   380.36         0.6199
   380.50         0.6244
   380.64         0.6281
   380.78         0.6302
   380.92         0.6298
   381.06         0.6257
   381.20         0.6177
   381.34         0.6055
   381.48         0.5899
   381.62         0.5723
   381.76         0.5542
   381.90         0.5372
   382.04         0.5229
   382.18         0.5125
   382.32         0.5065
   382.46         0.5048
   382.60         0.5066
   382.74         0.5110
   382.88         0.5171
   383.02         0.5240
   383.16         0.5313
   383.30         0.5387
   383.44         0.5465
   383.58         0.5549
   383.72         0.5639
   383.86         0.5735
   384.00         0.5838
   384.14         0.5947
   384.28         0.6054
   384.42         0.6143
   384.56         0.6197
   384.70         0.6201
   384.84         0.6144
   384.98         0.6025
   385.12         0.5851
   385.26         0.5637
   385.40         0.5406
   385.54         0.5189
   385.68         0.5018
   385.82         0.4920
   385.96         0.4910
   386.10         0.4995
   386.24         0.5162
   386.38         0.5383
   386.52         0.5624
   386.66         0.5859
   386.80         0.6064
   386.94         0.6222
   387.08         0.6321
   387.22         0.6355
   387.36         0.6325
   387.50         0.6243
   387.64         0.6127
   387.78         0.6000
   387.92         0.5881
   388.06         0.5792
   388.20         0.5745
   388.34         0.5743
   388.48         0.5776
   388.62         0.5833
   388.76         0.5898
   388.90         0.5960
   389.04         0.6018
   389.18         0.6082
   389.32         0.6159
   389.46         0.6247
   389.60         0.6336
   389.74         0.6416
   389.88         0.6480
   390.02         0.6529
   390.16         0.6567
   390.30         0.6603
   390.44         0.6648
   390.58         0.6706
   390.72         0.6776
   390.86         0.6848
   391.00         0.6912
   391.14         0.6956
   391.28         0.6974
   391.42         0.6967
   391.56         0.6937
   391.70         0.6883
   391.84         0.6803
   391.98         0.6693
   392.12         0.6552
   392.26         0.6389
   392.40         0.6219
   392.54         0.6058
   392.68         0.5921
   392.82         0.5819
