# File BD+302347
# Wavelength [nm]    Normalized Amplitude
   349.70         1.0284
   349.84         1.0233
   349.98         1.0240
   350.12         1.0301
   350.26         1.0403
   350.40         1.0525
   350.54         1.0651
   350.68         1.0765
   350.82         1.0854
   350.96         1.0911
   351.10         1.0930
   351.24         1.0911
   351.38         1.0854
   351.52         1.0765
   351.66         1.0651
   351.80         1.0525
   351.94         1.0403
   352.08         1.0301
   352.22         1.0240
   352.36         1.0233
   352.50         1.0284
   352.64         1.0390
   352.78         1.0542
   352.92         1.0726
   353.06         1.0930
   353.20         1.1141
   353.34         1.1344
   353.48         1.1524
   353.62         1.1667
   353.76         1.1765
   353.90         1.1820
   354.04         1.1839
   354.18         1.1834
   354.32         1.1812
   354.46         1.1782
   354.60         1.1751
   354.74         1.1723
   354.88         1.1703
   355.02         1.1692
   355.16         1.1695
   355.30         1.1707
   355.44         1.1716
   355.58         1.1704
   355.72         1.1656
   355.86         1.1561
   356.00         1.1406
   356.14         1.1192
   356.28         1.0927
   356.42         1.0628
   356.56         1.0316
   356.70         1.0017
   356.84         0.9748
   356.98         0.9526
   357.12         0.9362
   357.26         0.9253
   357.40         0.9187
   357.54         0.9147
   357.68         0.9118
   357.82         0.9084
   357.96         0.9034
   358.10         0.8967
   358.24         0.8898
   358.38         0.8847
   358.52         0.8838
   358.66         0.8894
   358.80         0.9035
   358.94         0.9271
   359.08         0.9595
   359.22         0.9982
   359.36         1.0398
   359.50         1.0803
   359.64         1.1158
   359.78         1.1433
   359.92         1.1605
   360.06         1.1669
   360.20         1.1630
   360.34         1.1513
   360.48         1.1351
   360.62         1.1177
   360.76         1.1012
   360.90         1.0864
   361.04         1.0738
   361.18         1.0638
   361.32         1.0567
   361.46         1.0526
   361.60         1.0517
   361.74         1.0539
   361.88         1.0590
   362.02         1.0664
   362.16         1.0749
   362.30         1.0837
   362.44         1.0919
   362.58         1.0992
   362.72         1.1052
   362.86         1.1099
   363.00         1.1134
   363.14         1.1156
   363.28         1.1160
   363.42         1.1143
   363.56         1.1112
   363.70         1.1082
   363.84         1.1063
   363.98         1.1057
   364.12         1.1070
   364.26         1.1104
   364.40         1.1158
   364.54         1.1232
   364.68         1.1325
   364.82         1.1441
   364.96         1.1584
   365.10         1.1758
   365.24         1.1959
   365.38         1.2176
   365.52         1.2397
   365.66         1.2610
   365.80         1.2798
   365.94         1.2947
   366.08         1.3049
   366.22         1.3102
   366.36         1.3109
   366.50         1.3083
   366.64         1.3038
   366.78         1.2989
   366.92         1.2946
   367.06         1.2912
   367.20         1.2883
   367.34         1.2854
   367.48         1.2822
   367.62         1.2781
   367.76         1.2723
   367.90         1.2644
   368.04         1.2553
   368.18         1.2467
   368.32         1.2394
   368.46         1.2342
   368.60         1.2318
   368.74         1.2331
   368.88         1.2383
   369.02         1.2468
   369.16         1.2575
   369.30         1.2690
   369.44         1.2798
   369.58         1.2884
   369.72         1.2937
   369.86         1.2950
   370.00         1.2924
   370.14         1.2866
   370.28         1.2788
   370.42         1.2708
   370.56         1.2646
   370.70         1.2613
   370.84         1.2610
   370.98         1.2625
   371.12         1.2646
   371.26         1.2659
   371.40         1.2656
   371.54         1.2632
   371.68         1.2589
   371.82         1.2530
   371.96         1.2460
   372.10         1.2380
   372.24         1.2289
   372.38         1.2185
   372.52         1.2065
   372.66         1.1928
   372.80         1.1773
   372.94         1.1604
   373.08         1.1425
   373.22         1.1246
   373.36         1.1073
   373.50         1.0910
   373.64         1.0760
   373.78         1.0629
   373.92         1.0523
   374.06         1.0450
   374.20         1.0418
   374.34         1.0428
   374.48         1.0481
   374.62         1.0574
   374.76         1.0696
   374.90         1.0835
   375.04         1.0980
   375.18         1.1126
   375.32         1.1272
   375.46         1.1418
   375.60         1.1561
   375.74         1.1696
   375.88         1.1813
   376.02         1.1901
   376.16         1.1957
   376.30         1.1988
   376.44         1.2011
   376.58         1.2048
   376.72         1.2120
   376.86         1.2244
   377.00         1.2429
   377.14         1.2670
   377.28         1.2956
   377.42         1.3268
   377.56         1.3590
   377.70         1.3905
   377.84         1.4194
   377.98         1.4435
   378.12         1.4607
   378.26         1.4699
   378.40         1.4702
   378.54         1.4617
   378.68         1.4453
   378.82         1.4220
   378.96         1.3936
   379.10         1.3623
   379.24         1.3309
   379.38         1.3030
   379.52         1.2822
   379.66         1.2709
   379.80         1.2705
   379.94         1.2817
   380.08         1.3030
   380.22         1.3322
   380.36         1.3658
   380.50         1.3995
   380.64         1.4297
   380.78         1.4531
   380.92         1.4673
   381.06         1.4703
   381.20         1.4615
   381.34         1.4415
   381.48         1.4116
   381.62         1.3743
   381.76         1.3324
   381.90         1.2883
   382.04         1.2443
   382.18         1.2017
   382.32         1.1614
   382.46         1.1239
   382.60         1.0895
   382.74         1.0583
   382.88         1.0306
   383.02         1.0068
   383.16         0.9880
   383.30         0.9756
   383.44         0.9708
   383.58         0.9745
   383.72         0.9868
   383.86         1.0071
   384.00         1.0345
   384.14         1.0671
   384.28         1.1031
   384.42         1.1403
   384.56         1.1765
   384.70         1.2096
   384.84         1.2372
   384.98         1.2578
   385.12         1.2706
   385.26         1.2764
   385.40         1.2769
   385.54         1.2743
   385.68         1.2709
   385.82         1.2683
   385.96         1.2678
   386.10         1.2694
   386.24         1.2731
   386.38         1.2787
   386.52         1.2863
   386.66         1.2958
   386.80         1.3062
   386.94         1.3158
   387.08         1.3226
   387.22         1.3256
   387.36         1.3242
   387.50         1.3185
   387.64         1.3087
   387.78         1.2956
   387.92         1.2800
   388.06         1.2633
   388.20         1.2467
   388.34         1.2319
   388.48         1.2204
   388.62         1.2145
   388.76         1.2163
   388.90         1.2273
   389.04         1.2480
   389.18         1.2775
   389.32         1.3131
   389.46         1.3515
   389.60         1.3895
   389.74         1.4246
   389.88         1.4554
   390.02         1.4810
   390.16         1.5014
   390.30         1.5170
   390.44         1.5291
   390.58         1.5389
   390.72         1.5478
   390.86         1.5561
   391.00         1.5636
   391.14         1.5696
   391.28         1.5735
   391.42         1.5740
   391.56         1.5689
   391.70         1.5559
   391.84         1.5325
   391.98         1.4969
   392.12         1.4478
   392.26         1.3854
   392.40         1.3114
   392.54         1.2286
   392.68         1.1411
   392.82         1.0542
   392.96         0.9732
   393.10         0.9034
   393.24         0.8496
   393.38         0.8154
   393.52         0.8034
   393.66         0.8144
   393.80         0.8479
   393.94         0.9012
   394.08         0.9698
   394.22         1.0478
   394.36         1.1295
   394.50         1.2095
   394.64         1.2832
   394.78         1.3472
   394.92         1.3990
   395.06         1.4373
   395.20         1.4610
   395.34         1.4696
   395.48         1.4625
   395.62         1.4391
   395.76         1.3995
   395.90         1.3448
   396.04         1.2778
   396.18         1.2030
   396.32         1.1257
   396.46         1.0520
   396.60         0.9882
   396.74         0.9402
   396.88         0.9129
   397.02         0.9095
   397.16         0.9307
   397.30         0.9754
   397.44         1.0397
   397.58         1.1184
   397.72         1.2056
   397.86         1.2955
   398.00         1.3830
   398.14         1.4640
   398.28         1.5359
   398.42         1.5979
   398.56         1.6500
   398.70         1.6932
   398.84         1.7292
   398.98         1.7596
   399.12         1.7858
   399.26         1.8095
   399.40         1.8312
   399.54         1.8508
   399.68         1.8677
   399.82         1.8817
   399.96         1.8931
   400.10         1.9023
   400.24         1.9102
   400.38         1.9176
   400.52         1.9251
   400.66         1.9327
   400.80         1.9404
   400.94         1.9481
   401.08         1.9561
   401.22         1.9642
   401.36         1.9724
   401.50         1.9810
   401.64         1.9900
   401.78         1.9990
   401.92         2.0070
   402.06         2.0127
   402.20         2.0149
   402.34         2.0133
   402.48         2.0085
   402.62         2.0013
   402.76         1.9927
   402.90         1.9833
   403.04         1.9740
   403.18         1.9652
   403.32         1.9573
   403.46         1.9504
   403.60         1.9442
   403.74         1.9389
   403.88         1.9346
   404.02         1.9314
   404.16         1.9293
   404.30         1.9279
   404.44         1.9267
   404.58         1.9249
   404.72         1.9223
   404.86         1.9191
   405.00         1.9155
   405.14         1.9116
   405.28         1.9066
   405.42         1.9002
   405.56         1.8920
   405.70         1.8822
   405.84         1.8714
   405.98         1.8602
   406.12         1.8496
   406.26         1.8407
   406.40         1.8345
   406.54         1.8307
   406.68         1.8283
   406.82         1.8261
   406.96         1.8238
   407.10         1.8214
   407.24         1.8194
   407.38         1.8180
   407.52         1.8179
   407.66         1.8199
   407.80         1.8247
   407.94         1.8332
   408.08         1.8459
   408.22         1.8623
   408.36         1.8811
   408.50         1.9001
   408.64         1.9167
   408.78         1.9278
   408.92         1.9305
   409.06         1.9225
