# File FEIGE41
# Wavelength [nm]    Normalized Amplitude
   349.70         2.4991
   349.84         2.5253
   349.98         2.5468
   350.12         2.5624
   350.26         2.5724
   350.40         2.5781
   350.54         2.5806
   350.68         2.5809
   350.82         2.5800
   350.96         2.5789
   351.10         2.5784
   351.24         2.5789
   351.38         2.5800
   351.52         2.5809
   351.66         2.5806
   351.80         2.5781
   351.94         2.5724
   352.08         2.5624
   352.22         2.5468
   352.36         2.5253
   352.50         2.4991
   352.64         2.4705
   352.78         2.4415
   352.92         2.4136
   353.06         2.3884
   353.20         2.3672
   353.34         2.3513
   353.48         2.3417
   353.62         2.3391
   353.76         2.3433
   353.90         2.3533
   354.04         2.3673
   354.18         2.3829
   354.32         2.3974
   354.46         2.4085
   354.60         2.4148
   354.74         2.4160
   354.88         2.4123
   355.02         2.4045
   355.16         2.3934
   355.30         2.3794
   355.44         2.3627
   355.58         2.3447
   355.72         2.3275
   355.86         2.3128
   356.00         2.3015
   356.14         2.2940
   356.28         2.2896
   356.42         2.2867
   356.56         2.2836
   356.70         2.2789
   356.84         2.2718
   356.98         2.2619
   357.12         2.2488
   357.26         2.2319
   357.40         2.2104
   357.54         2.1840
   357.68         2.1535
   357.82         2.1203
   357.96         2.0867
   358.10         2.0555
   358.24         2.0297
   358.38         2.0111
   358.52         2.0008
   358.66         1.9987
   358.80         2.0038
   358.94         2.0157
   359.08         2.0348
   359.22         2.0611
   359.36         2.0935
   359.50         2.1302
   359.64         2.1684
   359.78         2.2058
   359.92         2.2399
   360.06         2.2690
   360.20         2.2917
   360.34         2.3068
   360.48         2.3136
   360.62         2.3115
   360.76         2.3008
   360.90         2.2827
   361.04         2.2591
   361.18         2.2323
   361.32         2.2051
   361.46         2.1801
   361.60         2.1604
   361.74         2.1476
   361.88         2.1417
   362.02         2.1414
   362.16         2.1450
   362.30         2.1512
   362.44         2.1590
   362.58         2.1678
   362.72         2.1778
   362.86         2.1887
   363.00         2.2000
   363.14         2.2105
   363.28         2.2191
   363.42         2.2256
   363.56         2.2293
   363.70         2.2300
   363.84         2.2270
   363.98         2.2202
   364.12         2.2100
   364.26         2.1971
   364.40         2.1826
   364.54         2.1675
   364.68         2.1530
   364.82         2.1401
   364.96         2.1302
   365.10         2.1242
   365.24         2.1231
   365.38         2.1269
   365.52         2.1347
   365.66         2.1452
   365.80         2.1571
   365.94         2.1695
   366.08         2.1810
   366.22         2.1900
   366.36         2.1955
   366.50         2.1972
   366.64         2.1955
   366.78         2.1916
