# File HD256413
# Wavelength [nm]    Normalized Amplitude
   349.70         134.6211
   349.84         135.1741
   349.98         135.7861
   350.12         136.3961
   350.26         136.9320
   350.40         137.3471
   350.54         137.6365
   350.68         137.8202
   350.82         137.9269
   350.96         137.9812
   351.10         137.9977
   351.24         137.9812
   351.38         137.9269
   351.52         137.8202
   351.66         137.6365
   351.80         137.3471
   351.94         136.9320
   352.08         136.3961
   352.22         135.7861
   352.36         135.1741
   352.50         134.6211
   352.64         134.1738
   352.78         133.8685
   352.92         133.7295
   353.06         133.7646
   353.20         133.9541
   353.34         134.2575
   353.48         134.6287
   353.62         135.0316
   353.76         135.4488
   353.90         135.8763
   354.04         136.3216
   354.18         136.7944
   354.32         137.2778
   354.46         137.7242
   354.60         138.0765
   354.74         138.2764
   354.88         138.2674
   355.02         138.0000
   355.16         137.4505
   355.30         136.6393
   355.44         135.6240
   355.58         134.4809
   355.72         133.2915
   355.86         132.1432
   356.00         131.1285
   356.14         130.3232
   356.28         129.7682
   356.42         129.4649
   356.56         129.3747
   356.70         129.4231
   356.84         129.5099
   356.98         129.5252
   357.12         129.3900
   357.26         129.0835
   357.40         128.6286
   357.54         128.0781
   357.68         127.5078
   357.82         126.9991
   357.96         126.6182
   358.10         126.4030
   358.24         126.3575
   358.38         126.4589
   358.52         126.6824
   358.66         127.0046
   358.80         127.3957
   358.94         127.8378
   359.08         128.3209
   359.22         128.8150
   359.36         129.2697
   359.50         129.6508
   359.64         129.9635
   359.78         130.2333
   359.92         130.4729
   360.06         130.6701
   360.20         130.8008
   360.34         130.8359
   360.48         130.7337
   360.62         130.4539
   360.76         129.9905
   360.90         129.3814
   361.04         128.6970
   361.18         128.0193
   361.32         127.4180
   361.46         126.9422
   361.60         126.6032
   361.74         126.3611
   361.88         126.1583
   362.02         125.9514
   362.16         125.7180
   362.30         125.4503
   362.44         125.1486
   362.58         124.8259
   362.72         124.5019
   362.86         124.1961
   363.00         123.9267
   363.14         123.7106
   363.28         123.5733
   363.42         123.5419
   363.56         123.6236
   363.70         123.7899
   363.84         123.9907
   363.98         124.1858
   364.12         124.3487
   364.26         124.4582
   364.40         124.5074
   364.54         124.5106
   364.68         124.4822
   364.82         124.4294
   364.96         124.3677
   365.10         124.3237
   365.24         124.3192
   365.38         124.3577
   365.52         124.4291
   365.66         124.5141
   365.80         124.5884
   365.94         124.6340
   366.08         124.6466
   366.22         124.6337
   366.36         124.6032
   366.50         124.5717
   366.64         124.5606
   366.78         124.5751
   366.92         124.6095
   367.06         124.6595
   367.20         124.7280
   367.34         124.8103
   367.48         124.8887
   367.62         124.9479
   367.76         124.9777
   367.90         124.9666
   368.04         124.8964
   368.18         124.7474
   368.32         124.5148
   368.46         124.2132
