# File O1015
# Wavelength [nm]    Normalized Amplitude
   349.70         12.2525
   349.84         12.1951
   349.98         12.1257
   350.12         12.0447
   350.26         11.9529
   350.40         11.8537
   350.54         11.7533
   350.68         11.6611
   350.82         11.5869
   350.96         11.5390
   351.10         11.5224
   351.24         11.5390
   351.38         11.5869
   351.52         11.6611
   351.66         11.7533
   351.80         11.8537
   351.94         11.9529
   352.08         12.0447
   352.22         12.1257
   352.36         12.1951
   352.50         12.2525
   352.64         12.2972
   352.78         12.3286
   352.92         12.3486
   353.06         12.3594
   353.20         12.3635
   353.34         12.3619
   353.48         12.3530
   353.62         12.3354
   353.76         12.3097
   353.90         12.2789
   354.04         12.2482
   354.18         12.2209
   354.32         12.1962
   354.46         12.1742
   354.60         12.1578
   354.74         12.1501
   354.88         12.1523
   355.02         12.1627
   355.16         12.1764
   355.30         12.1888
   355.44         12.1980
   355.58         12.2025
   355.72         12.2003
   355.86         12.1896
   356.00         12.1669
   356.14         12.1290
   356.28         12.0744
   356.42         12.0031
   356.56         11.9176
   356.70         11.8217
   356.84         11.7195
   356.98         11.6175
   357.12         11.5252
   357.26         11.4496
   357.40         11.3926
   357.54         11.3523
   357.68         11.3245
   357.82         11.3054
   357.96         11.2933
   358.10         11.2858
   358.24         11.2799
   358.38         11.2723
   358.52         11.2601
   358.66         11.2408
   358.80         11.2130
   358.94         11.1765
   359.08         11.1324
   359.22         11.0821
   359.36         11.0268
   359.50         10.9683
   359.64         10.9106
   359.78         10.8584
   359.92         10.8175
   360.06         10.7940
   360.20         10.7918
   360.34         10.8124
   360.48         10.8552
   360.62         10.9195
   360.76         11.0037
   360.90         11.1041
   361.04         11.2151
   361.18         11.3296
   361.32         11.4382
   361.46         11.5294
   361.60         11.5939
   361.74         11.6288
   361.88         11.6384
   362.02         11.6316
   362.16         11.6173
   362.30         11.6011
   362.44         11.5867
   362.58         11.5756
   362.72         11.5658
   362.86         11.5527
   363.00         11.5333
   363.14         11.5080
   363.28         11.4787
   363.42         11.4461
   363.56         11.4086
   363.70         11.3643
   363.84         11.3119
   363.98         11.2544
   364.12         11.2004
   364.26         11.1599
   364.40         11.1417
   364.54         11.1524
   364.68         11.1940
   364.82         11.2629
   364.96         11.3507
   365.10         11.4479
   365.24         11.5472
   365.38         11.6424
   365.52         11.7260
   365.66         11.7905
   365.80         11.8296
   365.94         11.8384
   366.08         11.8145
   366.22         11.7591
   366.36         11.6782
   366.50         11.5831
   366.64         11.4886
   366.78         11.4079
   366.92         11.3500
   367.06         11.3212
   367.20         11.3243
   367.34         11.3555
   367.48         11.4050
   367.62         11.4613
   367.76         11.5162
   367.90         11.5643
   368.04         11.6002
   368.18         11.6194
   368.32         11.6215
   368.46         11.6075
   368.60         11.5788
   368.74         11.5396
   368.88         11.4967
   369.02         11.4572
   369.16         11.4263
   369.30         11.4069
   369.44         11.3969
   369.58         11.3920
   369.72         11.3875
   369.86         11.3783
   370.00         11.3602
   370.14         11.3329
   370.28         11.2997
   370.42         11.2667
   370.56         11.2404
   370.70         11.2259
   370.84         11.2244
   370.98         11.2326
   371.12         11.2450
   371.26         11.2588
   371.40         11.2748
   371.54         11.2953
   371.68         11.3227
   371.82         11.3593
   371.96         11.4048
   372.10         11.4561
   372.24         11.5077
   372.38         11.5514
   372.52         11.5801
   372.66         11.5928
   372.80         11.5969
   372.94         11.6058
   373.08         11.6344
   373.22         11.6933
   373.36         11.7834
   373.50         11.8954
   373.64         12.0151
   373.78         12.1277
   373.92         12.2192
   374.06         12.2773
   374.20         12.2955
   374.34         12.2739
   374.48         12.2185
   374.62         12.1430
   374.76         12.0697
   374.90         12.0261
   375.04         12.0397
   375.18         12.1345
   375.32         12.3237
   375.46         12.6008
   375.60         12.9366
   375.74         13.2826
   375.88         13.5805
   376.02         13.7774
   376.16         13.8408
   376.30         13.7653
   376.44         13.5731
   376.58         13.3078
   376.72         13.0280
   376.86         12.7994
   377.00         12.6837
   377.14         12.7280
   377.28         12.9586
   377.42         13.3785
   377.56         13.9665
   377.70         14.6814
   377.84         15.4667
   377.98         16.2532
   378.12         16.9653
   378.26         17.5304
   378.40         17.8897
   378.54         18.0063
   378.68         17.8706
   378.82         17.5014
   378.96         16.9404
   379.10         16.2465
   379.24         15.4915
   379.38         14.7544
   379.52         14.1136
   379.66         13.6388
   379.80         13.3836
   379.94         13.3801
   380.08         13.6350
   380.22         14.1310
   380.36         14.8285
   380.50         15.6678
   380.64         16.5758
   380.78         17.4771
   380.92         18.3050
   381.06         19.0091
   381.20         19.5582
   381.34         19.9374
   381.48         20.1454
   381.62         20.1900
   381.76         20.0843
   381.90         19.8433
   382.04         19.4805
   382.18         19.0055
   382.32         18.4254
   382.46         17.7511
   382.60         17.0028
   382.74         16.2144
   382.88         15.4318
   383.02         14.7046
   383.16         14.0804
   383.30         13.6046
   383.44         13.3173
   383.58         13.2436
   383.72         13.3881
   383.86         13.7356
