# File SAO11344
# Wavelength [nm]    Normalized Amplitude
   349.70         104.8615
   349.84         105.0960
   349.98         105.3502
   350.12         105.5753
   350.26         105.7413
   350.40         105.8407
   350.54         105.8847
   350.68         105.8906
   350.82         105.8751
   350.96         105.8569
   351.10         105.8495
   351.24         105.8569
   351.38         105.8751
   351.52         105.8906
   351.66         105.8847
   351.80         105.8407
   351.94         105.7413
   352.08         105.5753
   352.22         105.3502
   352.36         105.0960
   352.50         104.8615
   352.64         104.6964
   352.78         104.6346
   352.92         104.6955
   353.06         104.8902
   353.20         105.2131
   353.34         105.6412
   353.48         106.1509
   353.62         106.7178
   353.76         107.3118
   353.90         107.9014
   354.04         108.4550
   354.18         108.9329
   354.32         109.2848
   354.46         109.4596
   354.60         109.4353
   354.74         109.2265
   354.88         108.8601
   355.02         108.3617
   355.16         107.7484
   355.30         107.0338
   355.44         106.2418
   355.58         105.4145
   355.72         104.6021
   355.86         103.8603
   356.00         103.2692
   356.14         102.9082
   356.28         102.8119
   356.42         102.9567
   356.56         103.2660
   356.70         103.6321
   356.84         103.9363
   356.98         104.0717
   357.12         103.9644
   357.26         103.5807
   357.40         102.9153
   357.54         101.9921
   357.68         100.8801
   357.82         99.6819
   357.96         98.5233
   358.10         97.5327
   358.24         96.8069
   358.38         96.4060
   358.52         96.3652
   358.66         96.6853
   358.80         97.3020
   358.94         98.0958
   359.08         98.9367
   359.22         99.7187
   359.36         100.3603
   359.50         100.8011
   359.64         101.0151
   359.78         101.0094
   359.92         100.8207
   360.06         100.5276
   360.20         100.2299
   360.34         100.0068
   360.48         99.8983
   360.62         99.9099
   360.76         100.0206
   360.90         100.1947
   361.04         100.4006
   361.18         100.6226
   361.32         100.8468
   361.46         101.0390
   361.60         101.1557
   361.74         101.1659
   361.88         101.0585
   362.02         100.8406
   362.16         100.5408
   362.30         100.2135
   362.44         99.9293
   362.58         99.7616
   362.72         99.7676
   362.86         99.9522
   363.00         100.2735
   363.14         100.6801
   363.28         101.1348
   363.42         101.6198
   363.56         102.1308
   363.70         102.6748
   363.84         103.2634
   363.98         103.8840
   364.12         104.4974
   364.26         105.0640
   364.40         105.5554
   364.54         105.9496
   364.68         106.2223
   364.82         106.3471
   364.96         106.2988
   365.10         106.0439
   365.24         105.5665
   365.38         104.8967
   365.52         104.0969
   365.66         103.2540
   365.80         102.4729
   365.94         101.8625
   366.08         101.5119
   366.22         101.4756
   366.36         101.7683
   366.50         102.3550
   366.64         103.1509
   366.78         104.0468
   366.92         104.9333
   367.06         105.7170
   367.20         106.3382
   367.34         106.7737
   367.48         107.0272
   367.62         107.1506
   367.76         107.2545
   367.90         107.4745
   368.04         107.9124
   368.18         108.6169
   368.32         109.6192
   368.46         110.9249
   368.60         112.4888
   368.74         114.2394
   368.88         116.1197
   369.02         118.0778
   369.16         120.0376
   369.30         121.9079
   369.44         123.6327
   369.58         125.2366
   369.72         126.7981
   369.86         128.3690
   370.00         129.9300
   370.14         131.4325
   370.28         132.8843
   370.42         134.3720
   370.56         136.0229
   370.70         137.9513
   370.84         140.1798
   370.98         142.6005
   371.12         145.0365
   371.26         147.3752
   371.40         149.6334
   371.54         151.8920
   371.68         154.2280
   371.82         156.6985
   371.96         159.3079
   372.10         161.9692
   372.24         164.5006
   372.38         166.6702
   372.52         168.3071
   372.66         169.4211
   372.80         170.2447
   372.94         171.1435
   373.08         172.4308
   373.22         174.2404
   373.36         176.5053
   373.50         179.0077
   373.64         181.4810
   373.78         183.6725
   373.92         185.3383
   374.06         186.2523
   374.20         186.2854
   374.34         185.4682
   374.48         183.9502
   374.62         181.9360
   374.76         179.7093
   374.90         177.6692
   375.04         176.2855
   375.18         175.9949
   375.32         177.0593
   375.46         179.4484
   375.60         182.7958
   375.74         186.4421
   375.88         189.6110
   376.02         191.6287
   376.16         192.0947
   376.30         190.9728
   376.44         188.5857
   376.58         185.5493
   376.72         182.6269
   376.86         180.5414
   377.00         179.8295
   377.14         180.7766
   377.28         183.4388
   377.42         187.7077
   377.56         193.3423
   377.70         199.9551
   377.84         207.0206
   377.98         213.9091
   378.12         219.9431
   378.26         224.4853
   378.40         227.0257
   378.54         227.2864
   378.68         225.2949
   378.82         221.3782
   378.96         216.0878
   379.10         210.1012
   379.24         204.1404
   379.38         198.8958
   379.52         194.9773
   379.66         192.8629
   379.80         192.8214
   379.94         194.8907
   380.08         198.9133
   380.22         204.5559
   380.36         211.3218
   380.50         218.5966
   380.64         225.7224
   380.78         232.0994
   380.92         237.2828
   381.06         241.0428
   381.20         243.3871
   381.34         244.5267
   381.48         244.7688
   381.62         244.3786
   381.76         243.5045
   381.90         242.1604
   382.04         240.2088
   382.18         237.4016
   382.32         233.5045
   382.46         228.4320
   382.60         222.3287
   382.74         215.5571
   382.88         208.6226
   383.02         202.0982
   383.16         196.5550
   383.30         192.5015
   383.44         190.3145
   383.58         190.1654
   383.72         192.0032
   383.86         195.5830
   384.00         200.4917
   384.14         206.1856
   384.28         212.0681
   384.42         217.5925
   384.56         222.3306
   384.70         226.0103
   384.84         228.5566
   384.98         230.0924
   385.12         230.8671
   385.26         231.1705
   385.40         231.2563
   385.54         231.3004
   385.68         231.3973
   385.82         231.5676
   385.96         231.7825
   386.10         231.9924
   386.24         232.1522
   386.38         232.2404
   386.52         232.2516
   386.66         232.1846
   386.80         232.0499
   386.94         231.8379
   387.08         231.4726
   387.22         230.7933
   387.36         229.5502
   387.50         227.4343
   387.64         224.1757
   387.78         219.6687
   387.92         214.0281
   388.06         207.5703
   388.20         200.7615
   388.34         194.1462
   388.48         188.2740
   388.62         183.6369
   388.76         180.6153
   388.90         179.4452
   389.04         180.2064
